0,Symbol,Sequence_ID,Chromosome/scaffold name,Transcript start (bp),Transcript end (bp),DecodePub_Protein(short name),DecodePub_Protein(full name),DecodePub_Gene,DecodePub_UniProt,DecodePub_Ensembl.Gene.ID,DecodePub_Entrez.Gene.ID,DecodePub_HGNC.ID
3825_18_MAPK8_MK08.txt.gz,MAPK8,3825_18,10,48306639.0,48439360.0,MK08,Mitogen-activated protein kinase 8,MAPK8,P45983,ENSG00000107643,5599,HGNC:6881
3827_22_PAK6_PAK6.txt.gz,PAK6,3827_22,15,40217428.0,40277487.0,PAK6,Serine/threonine-protein kinase PAK 6,PAK6,Q9NQU5,ENSG00000137843,56924,HGNC:16061
3831_21_PTEN_pTEN.txt.gz,PTEN,3831_21,10,87862638.0,87971930.0,pTEN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",PTEN,P60484,ENSG00000171862,5728,HGNC:9588
3832_51_PTK6_PTK6.txt.gz,PTK6,3832_51,20,63528001.0,63537376.0,PTK6,Protein-tyrosine kinase 6,PTK6,Q13882,ENSG00000101213,5753,HGNC:9617
3835_11_TLR2_TLR2.txt.gz,TLR2,3835_11,4,153684070.0,153706260.0,TLR2,Toll-like receptor 2,TLR2,O60603,ENSG00000137462,7097,HGNC:11848
3836_51_UFM1_UFM1.txt.gz,UFM1,3836_51,13,38349849.0,38363619.0,UFM1,Ubiquitin-fold modifier 1,UFM1,P61960,ENSG00000120686,51569,HGNC:20597
3837_6_ZAP70_ZAP70.txt.gz,ZAP70,3837_6,2,97713576.0,97739862.0,ZAP70,Tyrosine-protein kinase ZAP-70,ZAP70,P43403,ENSG00000115085,7535,HGNC:12858
3839_60_AIP_AIP.txt.gz,AIP,3839_60,11,67468174.0,67491154.0,AIP,AH receptor-interacting protein,AIP,O00170,ENSG00000110711,9049,HGNC:358
3844_2_PPIA_Cyclophilin_A.txt.gz,PPIA,3844_2,7,44796680.0,44824564.0,Cyclophilin A,Peptidyl-prolyl cis-trans isomerase A,PPIA,P62937,ENSG00000196262,5478,HGNC:9253
3845_51_DYNLRB1_DLRB1.txt.gz,DYNLRB1,3845_51,20,34516395.0,34540958.0,DLRB1,Dynein light chain roadblock-type 1,DYNLRB1,Q9NP97,ENSG00000125971,83658,HGNC:15468
3847_56_ETHE1_ETHE1.txt.gz,ETHE1,3847_56,19,43506719.0,43527230.0,ETHE1,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,O95571,ENSG00000105755,23474,HGNC:23287
3848_14_GAPDH_GAPDH__liver.txt.gz,GAPDH,3848_14,12,6534512.0,6538374.0,"GAPDH, liver",Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,P04406,ENSG00000111640,2597,HGNC:4141
3852_19_DNAJB1_HSP_40.txt.gz,DNAJB1,3852_19,19,14514769.0,14560391.0,HSP 40,DnaJ homolog subfamily B member 1,DNAJB1,P25685,ENSG00000132002,3337,HGNC:5270
3853_56_MDH1_MDHC.txt.gz,MDH1,3853_56,2,63588609.0,63607197.0,MDHC,"Malate dehydrogenase, cytoplasmic",MDH1,P40925,ENSG00000014641,4190,HGNC:6970
3854_24_NACA_NACA.txt.gz,NACA,3854_24,12,56712305.0,56731628.0,NACA,Nascent polypeptide-associated complex subunit alpha,NACA,Q13765,ENSG00000196531,4666,HGNC:7629
3855_56_PRDX1_Peroxiredoxin_1.txt.gz,PRDX1,3855_56,1,45510914.0,45542732.0,Peroxiredoxin-1,Peroxiredoxin-1,PRDX1,Q06830,ENSG00000117450,5052,HGNC:9352
3858_5_ACP1_PPAC.txt.gz,ACP1,3858_5,2,264140.0,278283.0,PPAC,Low molecular weight phosphotyrosine protein phosphatase,ACP1,P24666,ENSG00000143727,52,HGNC:122
3859_50_PSMA1_PSA1.txt.gz,PSMA1,3859_50,11,14504874.0,14643635.0,PSA1,Proteasome subunit alpha type-1,PSMA1,P25786,ENSG00000129084,5682,HGNC:9530
3860_7_PSMA6_PSA6.txt.gz,PSMA6,3860_7,14,35278633.0,35317493.0,PSA6,Proteasome subunit alpha type-6,PSMA6,P60900,ENSG00000100902,5687,HGNC:9535
3864_5_RPS7_RS7.txt.gz,RPS7,3864_5,2,3575260.0,3580920.0,RS7,40S ribosomal protein S7,RPS7,P62081,ENSG00000171863,6201,HGNC:10440
3866_7_SBDS_SBDS.txt.gz,SBDS,3866_7,7,66987680.0,66995693.0,SBDS,Ribosome maturation protein SBDS,SBDS,Q9Y3A5,ENSG00000126524,51119,HGNC:19440
3867_49_SEZ6L2_SE6L2.txt.gz,SEZ6L2,3867_49,16,29871159.0,29899550.0,SE6L2,Seizure 6-like protein 2,SEZ6L2,Q6UXD5,ENSG00000174938,26470,HGNC:30844
3868_8_SGTA_SGTA.txt.gz,SGTA,3868_8,19,2754715.0,2783362.0,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,SGTA,O43765,ENSG00000104969,6449,HGNC:10819
3872_2_TPT1_TCTP.txt.gz,TPT1,3872_2,13,45333471.0,45341284.0,TCTP,Translationally-controlled tumor protein,TPT1,P13693,ENSG00000133112,7178,HGNC:12022
3873_51_TPO_TMA.txt.gz,TPO,3873_51,2,1374066.0,1543711.0,TMA,Thyroid peroxidase,TPO,P07202,ENSG00000115705,7173,HGNC:12015
3874_8_UBE2L3_UB2L3.txt.gz,UBE2L3,3874_8,22,21549447.0,21624034.0,UB2L3,Ubiquitin-conjugating enzyme E2 L3,UBE2L3,P68036,ENSG00000185651,7332,HGNC:12488
3875_62_ARID3A_ARI3A.txt.gz,ARID3A,3875_62,19,925781.0,975939.0,ARI3A,AT-rich interactive domain-containing protein 3A,ARID3A,Q99856,ENSG00000116017,1820,HGNC:3031
3879_50_CDC37_CDC37.txt.gz,CDC37,3879_50,19,10391133.0,10420121.0,CDC37,Hsp90 co-chaperone Cdc37,CDC37,Q16543,ENSG00000105401,11140,HGNC:1735
3881_49_DYNLL1_DLC8.txt.gz,DYNLL1,3881_49,12,120469850.0,120498493.0,DLC8,"Dynein light chain 1, cytoplasmic",DYNLL1,P63167,ENSG00000088986,8655,HGNC:15476
3887_90_KPNB1_IMB1.txt.gz,KPNB1,3887_90,17,47649476.0,47685505.0,IMB1,Importin subunit beta-1,KPNB1,Q14974,ENSG00000108424,3837,HGNC:6400
3888_8_ING1_ING1.txt.gz,ING1,3888_8,13,110712736.0,110723339.0,ING1,Inhibitor of growth protein 1,ING1,Q9UK53,ENSG00000153487,3621,HGNC:6062
3889_64_LMNB1_Lamin_B1.txt.gz,LMNB1,3889_64,5,126776623.0,126837020.0,Lamin-B1,Lamin-B1,LMNB1,P20700,ENSG00000113368,4001,HGNC:6637
3890_8_LDHB_LDH_H_1.txt.gz,LDHB,3890_8,12,21635342.0,21757857.0,LDH-H 1,L-lactate dehydrogenase B chain,LDHB,P07195,ENSG00000111716,3945,HGNC:6541
3891_56_MBD4_MBD4.txt.gz,MBD4,3891_56,3,129430947.0,129440179.0,MBD4,Methyl-CpG-binding domain protein 4,MBD4,O95243,ENSG00000129071,8930,HGNC:6919
3892_21_MED1_MED_1.txt.gz,MED1,3892_21,17,39404285.0,39451272.0,MED-1,Mediator of RNA polymerase II transcription subunit 1,MED1,Q15648,ENSG00000125686,5469,HGNC:9234
3893_64_MSLN_Mesothelin.txt.gz,MSLN,3893_64,16,760734.0,768865.0,Mesothelin,Mesothelin,MSLN,Q13421,ENSG00000102854,10232,HGNC:7371
3894_15_NAGK_NAGK.txt.gz,NAGK,3894_15,2,71064344.0,71079808.0,NAGK,N-acetyl-D-glucosamine kinase,NAGK,Q9UJ70,ENSG00000124357,55577,HGNC:17174
3896_5_PGAM1_Phosphoglycerate_mutase_1.txt.gz,PGAM1,3896_5,10,97426191.0,97433444.0,Phosphoglycerate mutase 1,Phosphoglycerate mutase 1,PGAM1,P18669,ENSG00000171314,5223,HGNC:8888
3897_61_PDXP_PLPP.txt.gz,PDXP,3897_61,22,37658723.0,37666932.0,PLPP,Pyridoxal phosphate phosphatase,PDXP,Q96GD0,ENSG00000241360,57026,HGNC:30259
3898_5_PSMD7_PSD7.txt.gz,PSMD7,3898_5,16,74296814.0,74306288.0,PSD7,26S proteasome non-ATPase regulatory subunit 7,PSMD7,P51665,ENSG00000103035,5713,HGNC:9565
3902_21_SKP1_SKP1.txt.gz,SKP1,3902_21,5,134148935.0,134176964.0,SKP1,S-phase kinase-associated protein 1,SKP1,P63208,ENSG00000113558,6500,HGNC:10899
3903_49_SNX4_Sorting_nexin_4.txt.gz,SNX4,3903_49,3,125446650.0,125520202.0,Sorting nexin 4,Sorting nexin-4,SNX4,O95219,ENSG00000114520,8723,HGNC:11175
3905_62_UBE2N_UBE2N.txt.gz,UBE2N,3905_62,12,93405673.0,93441947.0,UBE2N,Ubiquitin-conjugating enzyme E2 N,UBE2N,P61088,ENSG00000177889,7334,HGNC:12492
4122_12_DDR1_discoidin_domain_receptor_1.txt.gz,DDR1,4122_12,6,30876421.0,30900156.0,discoidin domain receptor 1,Epithelial discoidin domain-containing receptor 1,DDR1,Q08345,ENSG00000204580,780,HGNC:2730
4123_60_FGF4_FGF_4.txt.gz,FGF4,4123_60,11,69771022.0,69775341.0,FGF-4,Fibroblast growth factor 4,FGF4,P08620,ENSG00000075388,2249,HGNC:3682
4124_24_HSPA1A_HSP_70.txt.gz,HSPA1A,4124_24,6,31815543.0,31817946.0,HSP 70,Heat shock 70 kDa protein 1A,HSPA1A,P0DMV8,ENSG00000232804,3303,HGNC:5232
4125_52_AGER_sRAGE.txt.gz,AGER,4125_52,6,32180968.0,32184322.0,sRAGE,"Advanced glycosylation end product-specific receptor, soluble",AGER,Q15109,ENSG00000229058,177,HGNC:320
4126_22_BPI_BPI.txt.gz,BPI,4126_22,20,38304150.0,38337505.0,BPI,Bactericidal permeability-increasing protein,BPI,P17213,ENSG00000101425,671,HGNC:1095
4127_75_C6_C6.txt.gz,C6,4127_75,5,41142116.0,41261438.0,C6,Complement component C6,C6,P13671,ENSG00000039537,729,HGNC:1339
4128_27_CCL24_Eotaxin_2.txt.gz,CCL24,4128_27,7,75810825.0,75823356.0,Eotaxin-2,C-C motif chemokine 24,CCL24,O00175,ENSG00000106178,6369,HGNC:10623
4129_72_CFB_Factor_B.txt.gz,CFB,4129_72,6,31945650.0,31952086.0,Factor B,Complement factor B,CFB,P00751,ENSG00000241534,629,HGNC:1037
4130_71_FGF6_FGF_6.txt.gz,FGF6,4130_71,12,4428155.0,4445815.0,FGF-6,Fibroblast growth factor 6,FGF6,P10767,ENSG00000111241,2251,HGNC:3684
4131_72_FN1_Fibronectin.txt.gz,FN1,4131_72,2,215360440.0,215436073.0,Fibronectin,Fibronectin,FN1,P02751,ENSG00000115414,2335,HGNC:3778
4132_27_FST_FST.txt.gz,FST,4132_27,5,53480626.0,53487134.0,FST,Follistatin,FST,P19883,ENSG00000134363,10468,HGNC:3971
4133_54_GZMB_Granzyme_B.txt.gz,GZMB,4133_54,14,24630954.0,24634267.0,Granzyme B,Granzyme B,GZMB,P10144,ENSG00000100453,3002,HGNC:4709
4136_40_IL17D_IL_17D.txt.gz,IL17D,4136_40,13,20702127.0,20723098.0,IL-17D,Interleukin-17D,IL17D,Q8TAD2,ENSG00000172458,53342,HGNC:5984
4137_57_IL25_IL_17E.txt.gz,IL25,4137_57,14,23372809.0,23376403.0,IL-17E,Interleukin-25,IL25,Q9H293,ENSG00000166090,64806,HGNC:13765
4138_25_IL20_IL_20.txt.gz,IL20,4138_25,1,206865623.0,206869223.0,IL-20,Interleukin-20,IL20,Q9NYY1,ENSG00000162891,50604,HGNC:6002
4140_3_IL7_IL_7.txt.gz,IL7,4140_3,8,78675743.0,78805523.0,IL-7,Interleukin-7,IL7,P13232,ENSG00000104432,3574,HGNC:6023
4141_79_CXCL10_IP_10.txt.gz,CXCL10,4141_79,4,76021118.0,76023497.0,IP-10,C-X-C motif chemokine 10,CXCL10,P02778,ENSG00000169245,3627,HGNC:10637
4143_74_XCL1_Lymphotactin.txt.gz,XCL1,4143_74,1,168576605.0,168582069.0,Lymphotactin,Lymphotactin,XCL1,P47992,ENSG00000143184,6375,HGNC:10645
4144_13_CCL13_MCP_4.txt.gz,CCL13,4144_13,17,34356480.0,34358610.0,MCP-4,C-C motif chemokine 13,CCL13,Q99616,ENSG00000181374,6357,HGNC:10611
4145_58_NTF3_Neurotrophin_3.txt.gz,NTF3,4145_58,12,5432108.0,5521536.0,Neurotrophin-3,Neurotrophin-3,NTF3,P20783,ENSG00000185652,4908,HGNC:8023
4146_58_NTF4_Neurotrophin_5.txt.gz,NTF4,4146_58,19,49061066.0,49065076.0,Neurotrophin-5,Neurotrophin-4,NTF4,P34130,ENSG00000167744,4909,HGNC:8024
4148_49_PAPPA_PAPP_A.txt.gz,PAPPA,4148_49,9,116153791.0,116402321.0,PAPP-A,Pappalysin-1,PAPPA,Q13219,ENSG00000182752,5069,HGNC:8602
4149_8_PDGFB_PDGF_BB.txt.gz,PDGFB,4149_8,22,39223359.0,39244982.0,PDGF-BB,Platelet-derived growth factor subunit B,PDGFB,P01127,ENSG00000100311,5155,HGNC:8800
4150_75_PLG_Plasmin.txt.gz,PLG,4150_75,6,160702194.0,160754097.0,Plasmin,Plasmin,PLG,P00747,ENSG00000122194,5340,HGNC:9071
4151_6_PLG_Plasminogen.txt.gz,PLG,4151_6,6,160702194.0,160754097.0,Plasminogen,Plasminogen,PLG,P00747,ENSG00000122194,5340,HGNC:9071
4152_58_KLKB1_Prekallikrein.txt.gz,KLKB1,4152_58,4,186226438.0,186258471.0,Prekallikrein,Plasma kallikrein,KLKB1,P03952,ENSG00000164344,3818,HGNC:6371
4153_11_SERPINA3_alpha_1_antichymotrypsin_complex.txt.gz,SERPINA3,4153_11,14,94612384.0,94624055.0,alpha-1-antichymotrypsin complex,Alpha-1-antichymotrypsin complex,SERPINA3,P01011,,12,HGNC:16
4154_57_SELP_P_Selectin.txt.gz,SELP,4154_57,1,169588849.0,169630193.0,P-Selectin,P-selectin,SELP,P16109,ENSG00000174175,6403,HGNC:10721
4155_3_TNC_Tenascin.txt.gz,TNC,4155_3,9,115019575.0,115118207.0,Tenascin,Tenascin,TNC,P24821,ENSG00000041982,3371,HGNC:5318
4156_74_TGFB2_TGF_b2.txt.gz,TGFB2,4156_74,1,218345336.0,218444619.0,TGF-b2,Transforming growth factor beta-2,TGFB2,P61812,ENSG00000092969,7042,HGNC:11768
4157_2_F2_Thrombin.txt.gz,F2,4157_2,11,46719196.0,46739506.0,Thrombin,Thrombin,F2,P00734,ENSG00000180210,2147,HGNC:3535
4158_54_PLAU_uPA.txt.gz,PLAU,4158_54,10,73909177.0,73917496.0,uPA,Urokinase-type plasminogen activator,PLAU,P00749,ENSG00000122861,5328,HGNC:9052
4159_130_CFH_Factor_H.txt.gz,CFH,4159_130,1,196651754.0,196752476.0,Factor H,Complement factor H,CFH,P08603,ENSG00000000971,3075,HGNC:4883
4160_49_MMP2_MMP_2.txt.gz,MMP2,4160_49,16,55389700.0,55506691.0,MMP-2,72 kDa type IV collagenase,MMP2,P08253,ENSG00000087245,4313,HGNC:7166
4162_54_TF_Transferrin.txt.gz,TF,4162_54,3,133746040.0,133796641.0,Transferrin,Serotransferrin,TF,P02787,ENSG00000091513,7018,HGNC:11740
4163_5_H2AFZ_Histone_H2A_z.txt.gz,H2AFZ,4163_5,4,99948086.0,99950355.0,Histone H2A.z,Histone H2A.z,H2AFZ,P0C0S5,ENSG00000164032,3015,HGNC:4741
4184_43_EIF4EBP2_4EBP2.txt.gz,EIF4EBP2,4184_43,10,70404145.0,70428618.0,4EBP2,Eukaryotic translation initiation factor 4E-binding protein 2,EIF4EBP2,Q13542,ENSG00000148730,1979,HGNC:3289
4187_49_PGD_6_Phosphogluconate_dehydrogenase.txt.gz,PGD,4187_49,1,10398592.0,10420511.0,6-Phosphogluconate dehydrogenase,"6-phosphogluconate dehydrogenase, decarboxylating",PGD,P52209,ENSG00000142657,5226,HGNC:8891
4188_1_AKR7A2_Aflatoxin_B1_aldehyde_reductase.txt.gz,AKR7A2,4188_1,1,19303965.0,19312144.0,Aflatoxin B1 aldehyde reductase,Aflatoxin B1 aldehyde reductase member 2,AKR7A2,O43488,ENSG00000053371,8574,HGNC:389
4192_10_AKR1A1_AK1A1.txt.gz,AKR1A1,4192_10,1,45550543.0,45570049.0,AK1A1,Alcohol dehydrogenase [NADP(+)],AKR1A1,P14550,ENSG00000117448,10327,HGNC:380
4194_26_ANP32B_AN32B.txt.gz,ANP32B,4194_26,9,97983341.0,98015943.0,AN32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,ANP32B,Q92688,ENSG00000136938,10541,HGNC:16677
4203_50_CFL1_Cofilin_1.txt.gz,CFL1,4203_50,11,65823022.0,65862026.0,Cofilin-1,Cofilin-1,CFL1,P23528,ENSG00000172757,1072,HGNC:1874
4209_60_VTA1_DRG_1.txt.gz,VTA1,4209_60,6,142147162.0,142224685.0,DRG-1,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,Q9NP79,ENSG00000009844,51534,HGNC:20954
4212_5_EPS15L1_EP15R.txt.gz,EPS15L1,4212_5,19,16355239.0,16472085.0,EP15R,Epidermal growth factor receptor substrate 15-like 1,EPS15L1,Q9UBC2,ENSG00000127527,58513,HGNC:24634
4217_49_HSD17B10_ERAB.txt.gz,HSD17B10,4217_49,X,53431258.0,53434370.0,ERAB,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,Q99714,ENSG00000072506,3028,HGNC:4800
4220_39_FER_FER.txt.gz,FER,4220_39,5,108747841.0,109196841.0,FER,Tyrosine-protein kinase Fer,FER,P16591,ENSG00000151422,2241,HGNC:3655
4224_7_SYNCRIP_HNRPQ.txt.gz,SYNCRIP,4224_7,6,85607779.0,85644063.0,HNRPQ,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,O60506,ENSG00000135316,10492,HGNC:16918
4230_1_EIF4G2_IF4G2.txt.gz,EIF4G2,4230_1,11,10797050.0,10808940.0,IF4G2,Eukaryotic translation initiation factor 4 gamma 2,EIF4G2,P78344,ENSG00000110321,1982,HGNC:3297
4232_19_IGF1R_IGF_I_sR.txt.gz,IGF1R,4232_19,15,98648539.0,98964530.0,IGF-I sR,Insulin-like growth factor 1 receptor,IGF1R,P08069,ENSG00000140443,3480,HGNC:5465
4234_8_IL1RL1_IL_1_R4.txt.gz,IL1RL1,4234_8,2,102311502.0,102352037.0,IL-1 R4,Interleukin-1 receptor-like 1,IL1RL1,Q01638,ENSG00000115602,9173,HGNC:5998
4237_70_LCMT1_LCMT1.txt.gz,LCMT1,4237_70,16,25111731.0,25178231.0,LCMT1,Leucine carboxyl methyltransferase 1,LCMT1,Q9UIC8,ENSG00000205629,51451,HGNC:17557
4240_31_PKM2_M2_PK.txt.gz,PKM2,4240_31,15,72199029.0,72231819.0,M2-PK,Pyruvate kinase PKM,PKM2,P14618,ENSG00000067225,5315,HGNC:9021
4246_40_L1CAM_NCAM_L1.txt.gz,L1CAM,4246_40,X,153861514.0,153886173.0,NCAM-L1,Neural cell adhesion molecule L1,L1CAM,P32004,ENSG00000198910,3897,HGNC:6470
4249_64_NME2_NDP_kinase_B.txt.gz,NME2,4249_64,17,51165435.0,51171744.0,NDP kinase B,Nucleoside diphosphate kinase B,NME2,P22392,ENSG00000011052,4831,HGNC:7850
4250_23_NSFL1C_NSF1C.txt.gz,NSFL1C,4250_23,20,1442162.0,1473842.0,NSF1C,NSFL1 cofactor p47,NSFL1C,Q9UNZ2,ENSG00000088833,55968,HGNC:15912
4254_6_NUDCD3_NUDC3.txt.gz,NUDCD3,4254_6,7,44379119.0,44490658.0,NUDC3,NudC domain-containing protein 3,NUDCD3,Q8IVD9,ENSG00000015676,23386,HGNC:22208
4258_15_PA2G4_PA2G4.txt.gz,PA2G4,4258_15,12,56104537.0,56113910.0,PA2G4,Proliferation-associated protein 2G4,PA2G4,Q9UQ80,ENSG00000170515,5036,HGNC:8550
4261_55_PON1_paraoxonase_1.txt.gz,PON1,4261_55,7,95297676.0,95324532.0,paraoxonase 1,Serum paraoxonase/arylesterase 1,PON1,P27169,ENSG00000005421,5444,HGNC:9204
4267_81_PES1_PESC.txt.gz,PES1,4267_81,22,30576625.0,30607083.0,PESC,Pescadillo homolog,PES1,O00541,ENSG00000100029,23481,HGNC:8848
4271_75_PFDN5_PFD5.txt.gz,PFDN5,4271_75,12,53295291.0,53299452.0,PFD5,Prefoldin subunit 5,PFDN5,Q99471,ENSG00000123349,5204,HGNC:8869
4272_46_GPI_PHI.txt.gz,GPI,4272_46,19,34359480.0,34402413.0,PHI,Glucose-6-phosphate isomerase,GPI,P06744,ENSG00000105220,2821,HGNC:4458
4276_10_PEBP1_prostatic_binding_protein.txt.gz,PEBP1,4276_10,12,118136124.0,118145584.0,prostatic binding protein,Phosphatidylethanolamine-binding protein 1,PEBP1,P30086,ENSG00000089220,5037,HGNC:8630
4278_14_P4HB_Protein_disulfide_isomerase.txt.gz,P4HB,4278_14,17,81843159.0,81860856.0,Protein disulfide-isomerase,Protein disulfide-isomerase,P4HB,P07237,ENSG00000185624,5034,HGNC:8548
4280_47_PSMA2_PSA2.txt.gz,PSMA2,4280_47,7,42916828.0,42932185.0,PSA2,Proteasome subunit alpha type-2,PSMA2,P25787,ENSG00000106588,5683,HGNC:9531
4282_3_RAN_RAN.txt.gz,RAN,4282_3,12,130872037.0,130877678.0,RAN,GTP-binding nuclear protein Ran,RAN,P62826,ENSG00000132341,5901,HGNC:9846
4284_18_RBM39_RBM39.txt.gz,RBM39,4284_18,20,35701347.0,35742312.0,RBM39,RNA-binding protein 39,RBM39,Q14498,ENSG00000131051,9584,HGNC:15923
4292_5_NAPA_SNAA.txt.gz,NAPA,4292_5,19,47487637.0,47515091.0,SNAA,Alpha-soluble NSF attachment protein,NAPA,P54920,ENSG00000105402,8775,HGNC:7641
4294_16_SPHK1_Sphingosine_kinase_1.txt.gz,SPHK1,4294_16,17,76376584.0,76387860.0,Sphingosine kinase 1,Sphingosine kinase 1,SPHK1,Q9NYA1,ENSG00000176170,8877,HGNC:11240
4297_62_SPON1_Spondin_1.txt.gz,SPON1,4297_62,11,13962723.0,14268133.0,Spondin-1,Spondin-1,SPON1,Q9HCB6,ENSG00000152268,10418,HGNC:11252
4301_58_TK1_Thymidine_kinase.txt.gz,TK1,4301_58,17,78174091.0,78187233.0,Thymidine kinase,"Thymidine kinase, cytosolic",TK1,P04183,ENSG00000167900,7083,HGNC:11830
4304_18_LCORL_transcription_factor_MLR1__isoform_CRA_b.txt.gz,LCORL,4304_18,4,17841187.0,18021876.0,"transcription factor MLR1, isoform CRA_b",Ligand-dependent nuclear receptor corepressor-like protein,LCORL,Q8N3X6,ENSG00000178177,254251,HGNC:30776
4306_4_TKT_Transketolase.txt.gz,TKT,4306_4,3,53224712.0,53256052.0,Transketolase,Transketolase,TKT,P29401,ENSG00000163931,7086,HGNC:11834
4309_59_TPI1_Triosephosphate_isomerase.txt.gz,TPI1,4309_59,12,6867119.0,6870948.0,Triosephosphate isomerase,Triosephosphate isomerase,TPI1,P60174,ENSG00000111669,7167,HGNC:12009
4314_12_DCTPP1_XTP3A.txt.gz,DCTPP1,4314_12,16,30423615.0,30430030.0,XTP3A,dCTP pyrophosphatase 1,DCTPP1,Q9H773,ENSG00000179958,79077,HGNC:28777
4318_12_PTPN6_PTP_1C.txt.gz,PTPN6,4318_12,12,6946468.0,6961316.0,PTP-1C,Tyrosine-protein phosphatase non-receptor type 6,PTPN6,P29350,ENSG00000111679,5777,HGNC:9658
4322_28_AMN_AMNLS.txt.gz,AMN,4322_28,14,102922663.0,102933596.0,AMNLS,Protein amnionless,AMN,Q9BXJ7,ENSG00000166126,81693,HGNC:14604
4324_33_CST2_CYTT.txt.gz,CST2,4324_33,20,23823769.0,23826729.0,CYTT,Cystatin-SA,CST2,P09228,ENSG00000170369,1470,HGNC:2474
4328_2_BOC_BOC.txt.gz,BOC,4328_2,3,113211003.0,113287459.0,BOC,Brother of CDO,BOC,Q9BWV1,ENSG00000144857,91653,HGNC:17173
4332_6_CLEC1B_CLC1B.txt.gz,CLEC1B,4332_6,12,9985642.0,10013424.0,CLC1B,C-type lectin domain family 1 member B,CLEC1B,Q9P126,ENSG00000165682,51266,HGNC:24356
4337_49_CRP_CRP.txt.gz,CRP,4337_49,1,159712289.0,159714589.0,CRP,C-reactive protein,CRP,P02741,ENSG00000132693,1401,HGNC:2367
4342_10_ICAM1_sICAM_1.txt.gz,ICAM1,4342_10,19,10271093.0,10286615.0,sICAM-1,Intercellular adhesion molecule 1,ICAM1,P05362,ENSG00000090339,3383,HGNC:5344
4355_13_DAPK2_DAPK2.txt.gz,DAPK2,4355_13,15,63907036.0,64072033.0,DAPK2,Death-associated protein kinase 2,DAPK2,Q9UIK4,ENSG00000035664,23604,HGNC:2675
4359_87_DYRK3_DYRK3.txt.gz,DYRK3,4359_87,1,206635536.0,206684419.0,DYRK3,Dual specificity tyrosine-phosphorylation-regulated kinase 3,DYRK3,O43781,ENSG00000143479,8444,HGNC:3094
4374_45_GDF15_MIC_1.txt.gz,GDF15,4374_45,19,18374731.0,18389176.0,MIC-1,Growth/differentiation factor 15,GDF15,Q99988,ENSG00000130513,9518,HGNC:30142
4389_2_DHH_DHH.txt.gz,DHH,4389_2,12,49086656.0,49094801.0,DHH,Desert hedgehog protein N-product,DHH,O43323,ENSG00000139549,50846,HGNC:2865
4392_54_FGF12_FGF_12.txt.gz,FGF12,4392_54,3,192139390.0,192767764.0,FGF-12,Fibroblast growth factor 12,FGF12,P61328,ENSG00000114279,2257,HGNC:3668
4393_3_FGF16_FGF_16.txt.gz,FGF16,4393_3,X,77447389.0,77457278.0,FGF-16,Fibroblast growth factor 16,FGF16,O43320,ENSG00000196468,8823,HGNC:3672
4394_71_FGF8_FGF_8A.txt.gz,FGF8,4394_71,10,101770109.0,101780371.0,FGF-8A,Fibroblast growth factor 8 isoform A,FGF8,P55075,ENSG00000107831,2253,HGNC:3686
4396_54_IFNL1_IFN_lambda_1.txt.gz,IFNL1,4396_54,19,39296407.0,39298673.0,IFN-lambda 1,Interferon lambda-1,IFNL1,Q8IU54,ENSG00000182393,282618,HGNC:18363
4397_26_IFNL2_IFN_lambda_2.txt.gz,IFNL2,4397_26,19,39268396.0,39270188.0,IFN-lambda 2,Interferon lambda-2,IFNL2,Q8IZJ0,ENSG00000183709,282616,HGNC:18364
4407_10_MST1_MSP.txt.gz,MST1,4407_10,3,49683947.0,49689501.0,MSP,Hepatocyte growth factor-like protein,MST1,P26927,ENSG00000173531,4485,HGNC:7380
4413_3_SLPI_SLPI.txt.gz,SLPI,4413_3,20,45252239.0,45254564.0,SLPI,Antileukoproteinase,SLPI,P03973,ENSG00000124107,6590,HGNC:11092
4420_7_ADAM12_ADAM12.txt.gz,ADAM12,4420_7,10,126012381.0,126388477.0,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,ADAM12,O43184,ENSG00000148848,8038,HGNC:190
4423_77_BCL2L1_BCL2_like_1_protein.txt.gz,BCL2L1,4423_77,20,31664452.0,31723989.0,BCL2-like 1 protein,Bcl-2-like protein 1,BCL2L1,Q07817,ENSG00000171552,598,HGNC:992
4429_51_CHST6_CHST6.txt.gz,CHST6,4429_51,16,75472052.0,75495445.0,CHST6,Carbohydrate sulfotransferase 6,CHST6,Q9GZX3,ENSG00000183196,4166,HGNC:6938
4430_44_COLEC11_Collectin_Kidney_1.txt.gz,COLEC11,4430_44,2,3594832.0,3644644.0,Collectin Kidney 1,Collectin-11,COLEC11,Q9BWP8,ENSG00000118004,78989,HGNC:17213
