Sequence_ID,Full_name,Target_Name,UniprotID,EntrezeeGene_Nname
21839-3,POU domain class 2-associating factor 1,OBF1,Q16633,POU2AF1
21848-18,Ubiquitin-conjugating enzyme E2 R2,UB2R2,Q712K3,UBE2R2
21849-2,Ubiquilin-3,UBQL3,Q9H347,UBQLN3
21853-3,CLEC-1,CLC1A,Q8NC01,CLEC1A
21856-59,Ketohexokinase,KHK,P50053,KHK
21857-26,Guanine nucleotide-binding protein subunit beta-2-like 1,RACK1,P63244,RACK1
21858-25,E3 ubiquitin-protein ligase SIAH1,SIAH1,Q8IUQ4,SIAH1
21861-8,Proteasome subunit beta type-10,PSB10,P40306,PSMB10
21862-145,LIM and SH3 domain protein 1,LASP-1,Q14847,LASP1
21863-11,Cytosolic Fe-S cluster assembly factor NUBP2,NUBP2,Q9Y5Y2,NUBP2
21864-20,Protein MAK16 homolog,MAK16,Q9BXY0,MAK16
21875-31,AN1-type zinc finger protein 3,ZFAN3,Q9H8U3,ZFAND3
21876-266,PRKCA-binding protein,PICK1,Q9NRD5,PICK1
21883-17,Bone morphogenetic protein 5,BMP-5,P22003,BMP5
21885-196,Nucleolysin TIA-1 isoform p40,TIA1,P31483,TIA1
21887-2,Cerebellin-2,CBLN2,Q8IUK8,CBLN2
21889-2,Uncharacterized protein C7orf24,CG024,O75223,GGCT
21891-31,Fibulin-7,FBLN7,Q53RD9,FBLN7
21895-36,Interferon lambda-4,IFNL4,K9M1U5,IFNL4
21897-4,IL-17/IL-17F,IL-17/ IL-17F,Q96PD4 | Q16552,IL17F | IL17A
21899-36,inhibin A,inhibin A,P08476 | P05111,INHBA | INHA
2190-55,Coagulation Factor XI,Coagulation Factor XI,P03951,F11
21901-14,Integrin a3b1,Integrin a3b1,P26006 | P05556,ITGA3 | ITGB1
21903-6,Integrin alpha L beta 2,Integrin aLb2,P05107 | P20701,ITGB2 | ITGAL
21905-10,Integrin alpha-2/b1,Integrin alpha-2/ b1,P05556 | P17301,ITGB1 | ITGA2
21909-10,Integrin a5b1,Integrin a5b1,P05556 | P08648,ITGB1 | ITGA5
21909-2,Integrin a5b1,Integrin a5b1,P08648 | P05556,ITGA5 | ITGB1
21911-17,Norrin,NDP,Q00604,NDP
21913-5,Transcription factor YY2,TYY2,O15391,YY2
21915-2,OTU domain-containing protein 3,OTUD3,Q5T2D3,OTUD3
21916-82,Ubiquitin thioesterase otulin,OTUL,Q96BN8,OTULIN
2192-63,C-C motif chemokine 27,CTACK,Q9Y4X3,CCL27
21923-24,SAE1/SAE2,SAE1/ SAE2,Q9UBT2 | Q9UBE0,UBA2 | SAE1
21925-15,Transforming growth factor beta-1,TGF-b1,P01137,TGFB1
21926-24,UB2D1/PolyUbiquitin K48,UB2D1/ PolyUbiquitin K48,P0CG47 | P51668,UBB | UBE2D1
21929-53,UB2D3/PolyUbiquitin K48,UB2D3/ PolyUbiquitin K48,P61077 | P0CG47,UBE2D3 | UBB
21931-16,UB2L3/PolyUbiquitin K48,UB2L3/ PolyUbiquitin K48,P68036 | P0CG47,UBE2L3 | UBB
21931-27,UB2L3/PolyUbiquitin K48,UB2L3/ PolyUbiquitin K48,P68036 | P0CG47,UBE2L3 | UBB
21933-7,Ubiquitin-like modifier-activating enzyme 7,UBA7,P41226,UBA7
21935-16,Ubiquitin-conjugating enzyme E2 H,UBE2H,P62256,UBE2H
21939-6,ULA1/UBA3,ULA1/ UBA3,Q8TBC4 | Q13564,UBA3 | NAE1
21940-12,Protein Wnt-10b,WN10B,O00744,WNT10B
21942-14,Protein Wnt-16,WNT16,Q9UBV4,WNT16
21943-170,Protein Wnt-16,WNT16,Q9UBV4,WNT16
21945-4,Protein Wnt-5b,WNT5B,Q9H1J7,WNT5B
21946-79,IL-6/IL-6 sRa Complex,IL-6/ IL-6 sRa Complex,P08887 | P05231,IL6R | IL6
21949-4,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,AB1IP,Q7Z5R6,APBB1IP
21951-32,Aryl hydrocarbon receptor nuclear translocator,ARNT,P27540,ARNT
21955-36,Large proline-rich protein BAT3,BAT3,P46379,BAG6
21957-12,Phosphoinositide 3-kinase adapter protein 1,BCAP,Q6ZUJ8,PIK3AP1
21958-4,Active breakpoint cluster region-related protein,ABR,Q12979,ABR
21961-14,CD2-associated protein,CD2AP,Q9Y5K6,CD2AP
21963-48,Disabled homolog 2,DAB2,P98082,DAB2
21967-20,Corticosteroid 11-beta-dehydrogenase isozyme 1,DHI1,P28845,HSD11B1
21969-5,Dipeptidyl aminopeptidase-like protein 6,DPP6,P42658,DPP6
21971-47,Friend leukemia integration 1 transcription factor,FLI1,Q01543,FLI1
21975-22,Islet cell autoantigen 1,ICA69,Q05084,ICA1
21976-4,I-kappa-B kinase gamma,IKK-gamma,Q9Y6K9,IKBKG
21979-12,Integrin alpha-6,Integrin a6,P23229,ITGA6
21979-8,Integrin alpha-6,Integrin a6,P23229,ITGA6
21981-2,Integrin alpha-M,Integrin alpha-M,P11215,ITGAM
21985-61,Integrin beta-1-binding protein 2,ITBP2,Q9UKP3,ITGB1BP2
21987-76,Lipoprotein lipase,LPL,P06858,LPL
21989-12,Mitogen-activated protein kinase kinase kinase kinase 5,M4K5,Q9Y4K4,MAP4K5
21991-79,Neurabin-2,NEB2,Q96SB3,PPP1R9B
21995-20,NOS,NOS,P29474,NOS3
21996-28,NEDD8 ultimate buster 1,NUB1,Q9Y5A7,NUB1
21999-61,Nucleobindin-2,NUCB2,P80303,NUCB2
22001-23,Protein-arginine deiminase type-2,PADI2,Q9Y2J8,PADI2
22003-4,Paraoxonase 2,Paraoxonase-2,Q15165,PON2
22005-8,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",PDP1,Q9P0J1,PDP1
22007-1,Resistin-like beta,RELM-beta,Q9BQ08,RETNLB
22009-1,Protein phosphatase 1B,PPM1B,O75688,PPM1B
2201-17,Endostatin,Endostatin,P39060,COL18A1
22010-36,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,PRKRA,O75569,PRKRA
22013-6,Ras association domain-containing protein 2,RASF2,P50749,RASSF2
22015-2,E3 ubiquitin-protein ligase TRIM21,RO52,P19474,TRIM21
22019-21,SH2B adapter protein 3,SH2B3,Q9UQQ2,SH2B3
22023-3,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",AADAT,Q8N5Z0,AADAT
22027-13,Transforming acidic coiled-coil-containing protein 3,TACC3,Q9Y6A5,TACC3
22033-32,Wiskott-Aldrich syndrome protein,WASP,P42768,WAS
22033-7,Wiskott-Aldrich syndrome protein,WASP,P42768,WAS
22034-61,Zinc finger and BTB domain-containing protein 16,ZBT16,Q05516,ZBTB16
22037-47,EF-hand domain-containing protein D2,EFHD2,Q96C19,EFHD2
22041-26,Dual specificity mitogen-activated protein kinase kinase 5,MP2K5,Q13163,MAP2K5
22043-174,Heat shock-related 70 kDa protein 2,HSP70 protein 2,P54652,HSPA2
22045-8,Small ubiquitin-related modifier 4,SUMO4,Q6EEV6,SUMO4
22047-46,Collagen alpha-1(V) chain,CO5A1,P20908,COL5A1
22049-24,14-3-3 protein eta,14-3-3 eta,Q04917,YWHAH
22050-19,KxDL motif-containing protein 1,KXDL1,Q9BQD3,KXD1
22055-31,Forkhead box protein O1A,FOXO1A,Q12778,FOXO1
22057-9,"Aldehyde dehydrogenase X, mitochondrial",AL1B1,P30837,ALDH1B1
22059-56,Palmdelphin,PALMD,Q9NP74,PALMD
22063-20,Calpain small subunit 2,CPNS2,Q96L46,CAPNS2
22065-32,Interferon regulatory factor 8,IRF8,Q02556,IRF8
22068-5,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,2A5D,Q14738,PPP2R5D
22070-5,Rho guanine nucleotide exchange factor 16,ARHGG,Q5VV41,ARHGEF16
22071-38,Ankyrin repeat and SOCS box protein 8,ASB8,Q9H765,ASB8
22073-47,"ATP synthase B chain, mitochondrial",AT5F1,P24539,ATP5PB
22074-35,Ataxin-2-binding protein 1,Ataxin-2-binding protein 1,Q9NWB1,RBFOX1
22075-16,Cyclic AMP-dependent transcription factor ATF-3,ATF3,P18847,ATF3
22076-34,Protein atonal homolog 1,ATOH1,Q92858,ATOH1
22077-46,Mitochondrial inner membrane protease ATP23 homolog,ATP23,Q9Y6H3,ATP23
22078-4,Tyrosine aminotransferase,ATTY,P17735,TAT
22080-22,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1,BACD1,Q8WZ19,KCTD13
22082-25,Protein BEX2,BEX2,Q9BXY8,BEX2
22083-60,Protein BEX5,BEX5,Q5H9J7,BEX5
22085-86,Polycomb complex protein BMI-1,BMI-1,P35226,BMI1
22086-2,Breast cancer metastasis-suppressor 1-like protein,BRM1L,Q5PSV4,BRMS1L
22088-3,Protein BTG1,BTG1,P62324,BTG1
22089-13,Protein BTG4,BTG4,Q9NY30,BTG4
22091-14,Beta-ureidopropionase,BUP1,Q9UBR1,UPB1
22092-43,Caspase-4,Caspase-4,P49662,CASP4
22094-15,Uncharacterized protein C2orf73,CB073,Q8N5S3,C2orf73
22095-29,Chromobox protein homolog 2,CBX2,Q14781,CBX2
22098-10,Cyclin-Y-like protein 1,CCYL1,Q8N7R7,CCNYL1
22099-1,Uncharacterized protein C4orf36,CD036,Q96KX1,C4orf36
22103-25,Cyclin-dependent kinase 20,CDK20,Q8IZL9,CDK20
22104-39,Homeobox protein CDX-1,CDX1,P47902,CDX1
2211-9,Metalloproteinase inhibitor 1,TIMP-1,P01033,TIMP1
22112-30,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",COQ5,Q5HYK3,COQ5
22113-2,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",COQ6,Q9Y2Z9,COQ6
22114-4,Uncharacterized protein C18orf54,CR054,Q8IYD9,LAS2
22115-2,cAMP-responsive element-binding protein-like 2,CRBL2,O60519,CREBL2
22116-9,cAMP-responsive element modulator,CREM,Q03060,CREM
22118-7,Chondrosarcoma-associated gene 2/3 protein,CSAG2,Q9Y5P2,CSAG2
22119-18,COP9 signalosome complex subunit 8,CSN8,Q99627,COPS8
2212-69,Tissue-type plasminogen activator,tPA,P00750,PLAT
22120-4,DDB1- and CUL4-associated factor 11,DCA11,Q8TEB1,DCAF11
22121-43,DDB1- and CUL4-associated factor 12,DCA12,Q5T6F0,DCAF12
22123-15,Homeobox protein DLX-2,DLX2,Q07687,DLX2
22124-94,Dystrotelin,DYTN,A2CJ06,DYTN
22125-9,E2F5,E2F5,Q15329,E2F5
22128-8,ETS domain-containing protein Elk-4,ELK4,P28324,ELK4
22129-55,RNA polymerase II elongation factor ELL3,ELL3,Q9HB65,ELL3
22134-1,ETS translocation variant 4,ETV4,P43268,ETV4
22136-9,"Nuclease EXOG, mitochondrial",EXOG,Q9Y2C4,EXOG
22137-3,Protein FAM102B,F102B,Q5T8I3,FAM102B
22140-6,Protein FAM204A,F204A,Q9H8W3,FAM204A
22141-59,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",F261,P16118,PFKFB1
22142-4,Putative protein N-methyltransferase FAM86B1,F86B1,Q8N7N1,FAM86B1
22143-6,F-box only protein 28,FBX28,Q9NVF7,FBXO28
22144-65,F-box only protein 48,FBX48,Q5FWF7,FBXO48
22146-20,Fos-related antigen 2,FOSL2,P15408,FOSL2
22147-19,Forkhead box protein O4,FOXO4,P98177,FOXO4
22148-135,Forkhead box protein P3,FOXP3,Q9BZS1,FOXP3
22149-2,FUN14 domain-containing protein 1,FUND1,Q8IVP5,FUNDC1
22150-2,GA-binding protein subunit beta-1,GABP1,Q06547,GABPB1
22151-48,Homeobox protein goosecoid-2,GSC2,O15499,GSC2
22152-162,Polypeptide N-acetylgalactosaminyltransferase 9,GALT9,Q9HCQ5,GALNT9
22154-37,GATA zinc finger domain-containing protein 1,GATD1,Q8WUU5,GATAD1
22155-44,Gem-associated protein 7,GEMI7,Q9H840,GEMIN7
22363-31,tRNA-specific adenosine deaminase 1,ADAT1,Q9BUB4,ADAT1
22365-52,Cyclic AMP-dependent transcription factor ATF-5,ATF5,Q9Y2D1,ATF5
22367-17,UPF0705 protein C11orf49,CK049,Q9H6J7,CSTPP1
22369-12,Doublesex- and mab-3-related transcription factor C2,DMRTD,Q8IXT2,DMRTC2
22371-46,Protein FAM110A,F110A,Q9BQ89,FAM110A
22374-56,Hairy/enhancer-of-split related with YRPW motif protein 1,HEY1,Q9Y5J3,HEY1
22375-15,Homeobox protein Hox-A11,HXA11,P31270,HOXA11
22376-95,Homeobox protein Hox-A5,HXA5,P20719,HOXA5
22377-27,Immediate early response gene 2 protein,IER2,Q9BTL4,IER2
22378-2,Keratin 34,Keratin 34,O76011,KRT34
22381-1,Endoribonuclease LACTB2,LACB2,Q53H82,LACTB2
22383-21,MITF,MITF,O75030,MITF
22385-2,PWWP domain-containing protein MUM1,MUM1,Q2TAK8,PWWP3A
22386-11,Homeobox protein OTX1,OTX1,P32242,OTX1
22387-26,Pituitary homeobox 3,PITX3,O75364,PITX3
22391-34,Histone deacetylase complex subunit SAP30L,SP30L,Q9HAJ7,SAP30L
22392-5,SERTA domain-containing protein 3,SRTD3,Q9UJW9,SERTAD3
22393-130,Thyroid transcription factor 1-associated protein 26,TAP26,Q9P031,CCDC59
22394-8,Transcription factor 21,TCF21,O43680,TCF21
22395-7,Tristetraproline,Tristetraproline,P26651,ZFP36
22397-2,X-box-binding protein 1,XBP1,P17861,XBP1
22398-5,Acidic leucine-rich nuclear phosphoprotein 32 family member C,AN32C,O43423,ANP32C
22401-26,Guanylyl cyclase-activating protein 2,GUC1B,Q9UMX6,GUCA1B
22402-12,Histone H2A type 1-A,H2A1A,Q96QV6,H2AC1
22403-13,Histone H2B type 1-K,H2B1K,O60814,H2BC12
22404-4,Inositol hexakisphosphate kinase 1,IP6K1,Q92551,IP6K1
22405-61,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",PCKGM,Q16822,PCK2
22414-127,Serine/threonine-protein kinase tousled-like 1,TLK1,Q9UKI8,TLK1
22417-10,E3 ubiquitin-protein ligase CBL-C,CBLC,Q9ULV8,CBLC
22421-79,E3 ubiquitin-protein ligase pellino homolog 1,PELI1,Q96FA3,PELI1
22429-13,Lysine-specific histone demethylase 1A,KDM1A,O60341,KDM1A
22430-15,N-chimaerin,CHIN,P15882,CHN1
22431-164,Serum response factor-binding protein 1,SRFB1,Q8NEF9,SRFBP1
22432-83,Serine/threonine-protein kinase SRPK1,SRPK1,Q96SB4,SRPK1
22445-2,Calcium-binding protein 5,CABP5,Q9NP86,CABP5
22465-43,Transcription factor HES-1,HES1,Q14469,HES1
22466-27,Transcription factor HES-5,HES5,Q5TA89,HES5
22467-94,HERV-H LTR-associating protein 3,HHLA3,Q9XRX5,HHLA3
22468-54,Histone H2A type 1,Histone H2A type 1,P0C0S8,H2AC11
22469-103,Homeobox protein HMX2,HMX2,A2RU54,HMX2
2247-20,Prokineticin-1,EG-VEGF,P58294,PROK1
22472-4,Transcription factor 12,HTF4,Q99081,TCF12
22474-28,Homeobox protein Hox-C11,HXC11,O43248,HOXC11
22476-115,Homeobox protein Hox-D4,HXD4,P09016,HOXD4
22479-64,Inositol hexakisphosphate kinase 2,IP6K2,Q9UHH9,IP6K2
22481-15,IQ domain-containing protein D,IQCD,Q96DY2,IQCD
22482-87,"Keratin, type I cytoskeletal 14",K1C14,P02533,KRT14
22483-109,"Keratin, type II cytoskeletal 71",K2C71,Q3SY84,KRT71
22484-17,Casein kinase I isoform alpha-like,KC1AL,Q8N752,CSNK1A1L
22485-1,BTB/POZ domain-containing protein KCTD7,KCTD7,Q96MP8,KCTD7
22486-58,"Keratin, type II cytoskeletal 6A",Keratin 6A,P02538,KRT6A
22488-17,Krueppel-like factor 9,KLF9,Q13886,KLF9
22490-16,Lipocalin-like 1 protein,LCNL1,Q6ZST4,LCNL1
22491-10,LIM domain-binding protein 2,LDB2,O43679,LDB2
22492-108,LIM domain only protein 3,LMO3,Q8TAP4,LMO3
22496-21,LYR motif-containing protein 1,LYRM1,O43325,LYRM1
22499-15,Mediator of RNA polymerase II transcription subunit 28,MED28,Q9H204,MED28
22500-9,Mediator of RNA polymerase II transcription subunit 11,MED11,Q9P086,MED11
22503-24,Homeobox protein Mohawk,MKX,Q8IYA7,MKX
22504-3,NEDD4-binding protein 2-like 2,N42L2,Q92802,N4BP2L2
22505-24,"NAD kinase 2, mitochondrial",NAKD2,Q4G0N4,NADK2
22506-25,N-acetyltransferase 5,NAT5,P61599,NAA20
22508-2,NADH dehydrogenase,NDUBA,O96000,NDUFB10
22509-9,"Arginine-hydroxylase NDUFAF5, mitochondrial",NDUF5,Q5TEU4,NDUFAF5
22510-6,Nuclear factor erythroid 2-related factor 2,NF2L2,Q16236,NFE2L2
22511-28,Nuclear transcription factor Y subunit alpha,NFYA,P23511,NFYA
22512-18,Neuroguidin,NGDN,Q8NEJ9,NGDN
22514-12,Protein naked cuticle homolog 2,NKD2,Q969F2,NKD2
22516-30,Neural retina-specific leucine zipper protein,NRL,P54845,NRL
22517-106,E3 SUMO-protein ligase NSE2,NSE2,Q96MF7,NSMCE2
22518-54,Kinetochore-associated protein NSL1 homolog,NSL1,Q96IY1,NSL1
22521-13,Homeobox protein OTX2,OTX2,P32243,OTX2
22523-4,Polyadenylate-binding protein 5,PABP5,Q96DU9,PABPC5
22525-9,Paired box protein Pax-3,PAX3,P23760,PAX3
22526-81,Pyruvate dehydrogenase E1 component beta subunit,PDHB,P11177,PDHB
22527-4,PDZ and LIM domain protein 3,PDLI3,Q53GG5,PDLIM3
22528-1,PHD finger protein 11,PHF11,Q9UIL8,PHF11
22529-31,PHD finger protein 6,PHF6,Q8IWS0,PHF6
22530-111,Phytanoyl-CoA dioxygenase domain-containing protein 1,PHYD1,Q5SRE7,PHYHD1
22531-44,Pituitary homeobox 2,PITX2,Q99697,PITX2
22532-59,PLAC8-like protein 1,PL8L1,A1L4L8,PLAC8L1
22533-95,Serine/threonine-protein phosphatase 1 regulatory subunit 10,PP1RA,Q96QC0,PPP1R10
22534-14,Serine/threonine-protein phosphatase 4 catalytic subunit,PP4C,P60510,PPP4C
22536-1,Protein phosphatase 1 regulatory subunit 42,PPR42,Q7Z4L9,PPP1R42
22537-5,Protein phosphatase PTC7 homolog,PPTC7,Q8NI37,PPTC7
22540-129,Proteasome subunit beta type 7,PSB7,Q99436,PSMB7
22541-46,DNA replication complex GINS protein PSF1,PSF1,Q14691,GINS1
22544-10,DNA repair protein RAD51 homolog 3,RA51C,O43502,RAD51C
22545-20,RNA-binding Raly-like protein,RALYL,Q86SE5,RALYL
22547-17,"RNA-binding motif, single-stranded-interacting protein 1",RBMS1,P29558,RBMS1
22548-18,Regulator of G-protein signaling 13,RGS13,O14921,RGS13
22549-73,RIP,RIP,Q13546,RIPK1
22553-4,60S ribosomal protein L38,RL38,P63173,RPL38
22554-101,"39S ribosomal protein L10, mitochondrial",RM10,Q7Z7H8,MRPL10
22557-68,"39S ribosomal protein L50, mitochondrial",RM50,Q8N5N7,MRPL50
22560-1,Protein EVI2A,EVI2A,P22794,EVI2A
22561-3,Uncharacterized protein UNQ511/PRO1026,YA003,Q6UX82,LYPD8
22563-4,Kin of IRRE-like protein 1,KIRR1,Q96J84,KIRREL1
22564-5,Low-density lipoprotein receptor class A domain-containing protein 3,LRAD3,Q86YD5,LDLRAD3
22566-53,Pituitary adenylate cyclase-activating polypeptide type I receptor,PACR,P41586,ADCYAP1R1
22568-7,Desmoglein-4,DSG4,Q86SJ6,DSG4
22569-55,TGF-beta receptor type-1,TGFR-1,P36897,TGFBR1
22572-19,Pepsin A-4,PEPA4,P0DJD7,PGA4
22576-1,CD209 antigen,DC-SIGN,Q9NNX6,CD209
22576-2,CD209 antigen,DC-SIGN,Q9NNX6,CD209
22577-24,Sialic acid-binding Ig-like lectin 14,SIG14,Q08ET2,SIGLEC14
22578-17,Roundabout homolog 2,ROBO2,Q9HCK4,ROBO2
22579-93,Neurexin-1-beta,NRX1B,P58400,NRXN1
22580-29,Ephrin-A2,Ephrin-A2,O43921,EFNA2
22583-47,NKG2D ligand 2,ULBP-2,Q9BZM5,ULBP2
22584-2,Low-density lipoprotein receptor-related protein 6,LRP6,O75581,LRP6
22585-5,Frizzled-4,FZD4,Q9ULV1,FZD4
22586-24,Butyrophilin subfamily 2 member A2,BT2A2,Q8WVV5,BTN2A2
22587-37,Ephrin type-A receptor 6,EPHA6,Q9UF33,EPHA6
22588-35,Adhesion G protein-coupled receptor B2,AGRB2,O60241,ADGRB2
22589-3,Frizzled-2,FZD2,Q14332,FZD2
22590-68,Frizzled-1,FZD1,Q9UP38,FZD1
22591-4,Frizzled-9,FZD9,O00144,FZD9
22770-22,Solute carrier family 25 member 38,S2538,Q96DW6,SLC25A38
22771-6,Sterile alpha motif domain-containing protein 12,SAM12,Q8N8I0,SAMD12
22772-125,Sorting and assembly machinery component 50 homolog,SAM50,Q9Y512,SAMM50
22773-69,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,P21912,SDHB
22774-20,tRNA-splicing endonuclease subunit Sen34,SEN34,Q9BSV6,TSEN34
22776-40,Nuclear receptor 0B2,SHP,Q15466,NR0B2
22777-46,S-phase kinase-associated protein 2,SKP2,Q13309,SKP2
22779-75,Single-pass membrane and coiled-coil domain-containing protein 1,SMCO1,Q147U7,SMCO1
2278-61,Metalloproteinase inhibitor 2,TIMP-2,P16035,TIMP2
22782-80,Kinetochore protein Spc25,SPC25,Q9HBM1,SPC25
22783-40,Transcription factor PU.1,SPI1,P17947,SPI1
22784-4,Spermatogenesis-associated protein 22,SPT22,Q8NHS9,SPATA22
22786-57,Spermatogenesis-associated protein 46,SPT46,Q5T0L3,SPATA46
22787-39,Sperm protein associated with the nucleus on the X chromosome N3,SPXN3,Q5MJ09,SPANXN3
22788-10,Sulfotransferase 6B1,ST6B1,Q6IMI4,SULT6B1
22792-21,"Tryptophan--tRNA ligase, mitochondrial",SYWM,Q9UGM6,WARS2
22793-110,Transcription initiation factor IIA subunit 2,T2AG,P52657,GTF2A2
22795-17,Transcriptional adapter 2-alpha,TAD2A,O75478,TADA2A
22796-17,Transcriptional adapter 1,TADA1,Q96BN2,TADA1
22797-20,Transcription initiation factor TFIID subunit 12,TAF12,Q16514,TAF12
22798-111,Transcription initiation factor TFIID subunit 8,TAF8,Q7Z7C8,TAF8
22799-17,TBC1 domain family member 28,TBC28,Q2M2D7,TBC1D28
22800-24,Telethonin,TELT,O15273,TCAP
22801-83,Telomere repeats-binding bouquet formation protein 2,TERB2,Q8NHR7,TERB2
22802-13,Testis-expressed protein 30,TEX30,Q5JUR7,TEX30
22805-18,THAP domain-containing protein 11,THA11,Q96EK4,THAP11
22806-1,THAP domain-containing protein 2,THAP2,Q9H0W7,THAP2
22808-59,Thyroid hormone receptor beta,THB,P10828,THRB
22809-32,Mitochondrial import inner membrane translocase subunit Tim23,TIM23,O14925,TIMM23
22810-41,TIMELESS-interacting protein,TIPIN,Q9BVW5,TIPIN
22811-5,Translation machinery-associated protein 16,TMA16,Q96EY4,TMA16
22812-4,Trafficking protein particle complex subunit 6B,TPC6B,Q86SZ2,TRAPPC6B
22813-5,TPT1-like protein,TPT1L,Q56UQ5,FLJ44635
22814-1,Zinc finger protein RFP,TRI27,P14373,TRIM27
22815-4,Tripartite motif-containing protein 40,TRI40,Q6P9F5,TRIM40
22816-4,Tripartite motif-containing protein 54,TRI54,Q9BYV2,TRIM54
22817-126,E3 ubiquitin-protein ligase TRIM9,TRIM9,Q9C026,TRIM9
22818-4,"Tricarboxylate transport protein, mitochondrial",TXTP,P53007,SLC25A1
22821-50,Uracil-DNA glycosylase,UNG,P13051,UNG
22824-53,V-type proton ATPase subunit C 2,VATC2,Q8NEY4,ATP6V1C2
22826-2,Von Hippel-Lindau-like protein,VHLL,Q6RSH7,VHLL
22831-11,Z-DNA-binding protein 1,ZBP1,Q9H171,ZBP1
22832-9,Zinc finger CCCH domain-containing protein 8,ZC3H8,Q8N5P1,ZC3H8
22833-74,Zinc finger CCHC domain-containing protein 18,ZCC18,P0CG32,ZCCHC18
22834-21,Probable palmitoyltransferase ZDHHC4,ZDHC4,Q9NPG8,ZDHHC4
22838-39,Zinc finger protein 230,ZN230,Q9UIE0,ZNF230
22839-23,Zinc finger protein 263,ZN263,O14978,ZNF263
22841-16,Zinc finger protein 696,ZN696,Q9H7X3,ZNF696
22842-85,Zinc finger protein 69,ZNF69,Q9UC07,ZNF69
22844-4,Zinc finger SWIM domain-containing protein 7,ZSWM7,Q19AV6,ZSWIM7
22845-3,"28S ribosomal protein S14, mitochondrial",RT14,O60783,MRPS14
22847-18,Serine/threonine-protein kinase 4,STK4,Q13043,STK4
22857-5,BTB/POZ domain-containing protein KCTD7,KCTD7,Q96MP8,KCTD7
22858-3,Mitogen-activated protein kinase 6,MK06,Q16659,MAPK6
22862-44,Protein phosphatase 1M,PPM1M,Q96MI6,PPM1M
22946-55,Alpha-1-syntrophin,Alpha-1-syntrophin,Q13424,SNTA1
22948-13,Bone morphogenetic protein 3,BMP-3,P12645,BMP3
22950-6,Butyrophilin subfamily 3 member A3,BT3A3,O00478,BTN3A3
22952-28,Cyclin-dependent kinase 2-associated protein 2,CDKA2,O75956,CDK2AP2
22953-85,CCAAT/enhancer-binding protein beta,CEBPB,P17676,CEBPB
22954-10,Chloride intracellular channel protein 2,CLIC2,O15247,CLIC2
22955-28,Retinol-binding protein 1,CRBP,P09455,RBP1
22958-6,Destrin,DEST,P60981,DSTN
22959-32,Dickkopf-related protein 4,Dkk-4,Q9UBT3,DKK4
22960-8,Low affinity immunoglobulin gamma Fc region receptor II-b,FCG2B,P31994,FCGR2B
22961-7,Ficolin-1,FCN1,O00602,FCN1
22963-3,Vesicle-associated membrane protein 2,VAMP2,P63027,VAMP2
22966-20,Gamma-aminobutyric acid receptor-associated protein,GBRAP,O95166,GABARAP
22967-15,Growth/differentiation factor 7,GDF7,Q7Z4P5,GDF7
22968-9,G antigen 2D,GGE2D,Q9UEU5,GAGE2D
22969-12,C-C motif chemokine 7,MCP-3,P80098,CCL7
22970-8,PDZ domain-containing protein GIPC1,GIPC1,O14908,GIPC1
22972-26,Gro-beta,Gro-b,P19875,CXCL2
22973-8,Gro-gamma,Gro-g,P19876,CXCL3
22974-25,Histone H2B type 2-E,H2B2E,Q16778,H2BC21
22977-18,Protein HEXIM1,HEXI1,O94992,HEXIM1
22978-13,High mobility group protein B2,HMG-2,P26583,HMGB2
22980-37,Homer protein homolog 1,HOME1,Q86YM7,HOMER1
22981-3,Hippocalcin-like protein 1,HPCL1,P37235,HPCAL1
22984-10,Eukaryotic initiation factor 4A-II,IF4A2,Q14240,EIF4A2
22985-160,Insulin-like growth factor-binding protein 2,IGFBP-2,P18065,IGFBP2
22987-69,Mitogen-activated protein kinase 9,JNK2,P45984,MAPK9
22989-24,Protein lin-7 homolog A,LIN7A,O14910,LIN7A
22990-20,Protein lin-7 homolog B,LIN7B,Q9HAP6,LIN7B
22991-9,Melanoma-associated antigen 6,MAGE-6,P43360,MAGEA6
22992-6,Microtubule-associated protein RP/EB family member 3,MARE3,Q9UPY8,MAPRE3
22993-9,C-C motif chemokine 22,MDC,O00626,CCL22
23000-22,Neuroligin-1,NLGN1,Q8N2Q7,NLGN1
23002-27,Neurexophilin-1,NXPH1,P58417,NXPH1
23006-19,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,PI42B,P78356,PIP4K2B
23007-8,Junction plakoglobin,PLAK,P14923,JUP
23008-4,Ras-related protein Rab-2A,RAB2A,P61019,RAB2A
23016-24,TATA-binding protein-associated factor 2N,RBP56,Q92804,TAF15
