Protein,DECODE_exposure,DCODE_seqid,uniprot,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID
DIXDC1,DIXDC1_13441_30,SeqId.13441-30,Q155Q3,DIXC1,Dixin,DIXDC1,SomaScan v4,23695,DIXDC1,DIX domain containing 1,610493,ENSG00000150764,85458
DKK2,DKK2_15678_71,SeqId.15678-71,Q9UBU2,DKK2,Dickkopf-related protein 2,DKK2,SomaScan v4,2892,DKK2,dickkopf WNT signaling pathway inhibitor 2,605415,ENSG00000155011,27123
DLG2,DLG2_19620_16,SeqId.19620-16,Q15700,DLG2,Disks large homolog 2,DLG2,SomaScan v4,2901,DLG2,discs large MAGUK scaffold protein 2,603583,ENSG00000150672,1740
DLG3,DLG3_7897_75,SeqId.7897-75,Q92796,DLG3,Disks large homolog 3,DLG3,SomaScan v4,2902,DLG3,discs large MAGUK scaffold protein 3,300189,ENSG00000082458,1741
DLG4,DLG4_8070_88,SeqId.8070-88,P78352,DLG4,Disks large homolog 4,DLG4,SomaScan v4,2903,DLG4,discs large MAGUK scaffold protein 4,602887,ENSG00000132535,1742
DLK1,DLK1_8380_244,SeqId.8380-244,P80370,DLK1,Protein delta homolog 1,DLK1,SomaScan v4,2907,DLK1,delta like non-canonical Notch ligand 1,176290,ENSG00000185559,8788
DLX3,DLX3_11422_2,SeqId.11422-2,O60479,DLX3,Homeobox protein DLX-3,DLX3,SomaScan v4,2916,DLX3,distal-less homeobox 3,600525,ENSG00000064195,1747
DLX4,DLX4_11910_27,SeqId.11910-27,Q92988,DLX4,Homeobox protein DLX-4,DLX4,SomaScan v4,2917,DLX4,distal-less homeobox 4,601911,ENSG00000108813,1748
DMBT1,DMBT1_19212_4,SeqId.19212-4,Q9UGM3,DMBT1,Deleted in malignant brain tumors 1 protein,DMBT1,SomaScan v4,2926,DMBT1,deleted in malignant brain tumors 1,601969,ENSG00000187908,1755
DMKN,DMKN_8535_102,SeqId.8535-102,Q6E0U4,Dermokine,Dermokine,DMKN,SomaScan v4,25063,DMKN,dermokine,617211,ENSG00000161249,93099
DNAI1,DNAI1_11396_39,SeqId.11396-39,Q9UI46,DNAI1,"Dynein intermediate chain 1, axonemal",DNAI1,SomaScan v4,2954,DNAI1,dynein axonemal intermediate chain 1,604366,ENSG00000122735,27019
DNAJA2,DNAJA2_11582_63,SeqId.11582-63,O60884,DNJA2,DnaJ homolog subfamily A member 2,DNAJA2,SomaScan v4,14884,DNAJA2,DnaJ heat shock protein family (Hsp40) member A2,611322,ENSG00000069345,10294
KPNA1,KPNA1_19587_12,SeqId.19587-12,P52294,IMA5,Importin subunit alpha-5,KPNA1,SomaScan v4,6394,KPNA1,karyopherin subunit alpha 1,600686,ENSG00000114030,3836
KPNA4,KPNA4_12698_72,SeqId.12698-72,O00629,IMA4,Importin subunit alpha-3,KPNA4,SomaScan v4,6397,KPNA4,karyopherin subunit alpha 4,602970,ENSG00000186432,3840
KPNB1,KPNB1_3887_90,SeqId.3887-90,Q14974,IMB1,Importin subunit beta-1,KPNB1,SomaScan v4,6400,KPNB1,karyopherin subunit beta 1,602738,ENSG00000108424,3837
KRT16,KRT16_18905_5,SeqId.18905-5,P08779,Keratin-16,"Keratin, type I cytoskeletal 16",KRT16,SomaScan v4,6423,KRT16,keratin 16,148067,ENSG00000186832,3868
KRT18,KRT18_5354_11,SeqId.5354-11,P05783,Keratin 18,"Keratin, type I cytoskeletal 18",KRT18,SomaScan v4,6430,KRT18,keratin 18,148070,ENSG00000111057,3875
KRT19,KRT19_15606_19,SeqId.15606-19,P08727,Keratin 19,"Keratin, type I cytoskeletal 19",KRT19,SomaScan v4,6436,KRT19,keratin 19,148020,ENSG00000171345,3880
KRT7,KRT7_11383_41,SeqId.11383-41,P08729,Keratin 7,"Keratin, type II cytoskeletal 7",KRT7,SomaScan v4,6445,KRT7,keratin 7,148059,ENSG00000135480,3855
KRT72,KRT72_11566_48,SeqId.11566-48,Q14CN4,Keratin 72,"Keratin, type II cytoskeletal 72",KRT72,SomaScan v4,28932,KRT72,keratin 72,608246,ENSG00000170486,140807
KRTDAP,KRTDAP_5739_75,SeqId.5739-75,P60985,KTDAP,Keratinocyte differentiation-associated protein,KRTDAP,SomaScan v4,16313,KRTDAP,keratinocyte differentiation associated protein,617212,ENSG00000188508,388533
KYNU,KYNU_4559_64,SeqId.4559-64,Q16719,KYNU,Kynureninase,KYNU,SomaScan v4,6469,KYNU,kynureninase,605197,ENSG00000115919,8942
L1CAM,L1CAM_4246_40,SeqId.4246-40,P32004,NCAM-L1,Neural cell adhesion molecule L1,L1CAM,SomaScan v4,6470,L1CAM,L1 cell adhesion molecule,308840,ENSG00000198910,3897
L3MBTL2,L3MBTL2_12708_91,SeqId.12708-91,Q969R5,LMBL2,Lethal(3)malignant brain tumor-like protein 2,L3MBTL2,SomaScan v4,18594,L3MBTL2,L3MBTL histone methyl-lysine binding protein 2,611865,ENSG00000100395,83746
LAD1,LAD1_6407_63,SeqId.6407-63,O00515,LAD1,Ladinin-1,LAD1,SomaScan v4,6472,LAD1,ladinin 1,602314,ENSG00000159166,3898
LAIR1,LAIR1_11284_24,SeqId.11284-24,Q6GTX8,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,LAIR1,SomaScan v4,6477,LAIR1,leukocyte associated immunoglobulin like receptor 1,602992,ENSG00000167613,3903
LAMA4,LAMA4_6577_64,SeqId.6577-64,Q16363,LAMA4,Laminin subunit alpha-4,LAMA4,SomaScan v4,6484,LAMA4,laminin subunit alpha 4,600133,ENSG00000112769,3910
LAMTOR3,LAMTOR3_12490_92,SeqId.12490-92,Q9UHA4,LTOR3,Ragulator complex protein LAMTOR3,LAMTOR3,SomaScan v4,15606,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",603296,ENSG00000109270,8649
LANCL1,LANCL1_13986_6,SeqId.13986-6,O43813,LANC1,LanC-like protein 1,LANCL1,SomaScan v4,6508,LANCL1,LanC like glutathione S-transferase 1,604155,ENSG00000115365,10314
LANCL2,LANCL2_12628_31,SeqId.12628-31,Q9NS86,LANC2,LanC-like protein 2,LANCL2,SomaScan v4,6509,LANCL2,LanC like glutathione S-transferase 2,612919,ENSG00000132434,55915
LAP3,LAP3_13959_7,SeqId.13959-7,P28838,LAP,Cytosol aminopeptidase,LAP3,SomaScan v4,18449,LAP3,leucine aminopeptidase 3,170250,ENSG00000002549,51056
LAT,LAT_10551_7,SeqId.10551-7,O43561,LAT,Linker for activation of T-cells family member 1,LAT,SomaScan v4,18874,LAT,linker for activation of T cells,602354,ENSG00000213658,27040
LAT2,LAT2_5613_75,SeqId.5613-75,Q9GZY6,NTAL,Linker for activation of T-cells family member 2,LAT2,SomaScan v4,12749,LAT2,linker for activation of T cells family member 2,605719,ENSG00000086730,7462
LCAT,LCAT_15413_3,SeqId.15413-3,P04180,LCAT,Phosphatidylcholine-sterol acyltransferase,LCAT,SomaScan v4,6522,LCAT,lecithin-cholesterol acyltransferase,606967,ENSG00000213398,3931
LCK,LCK_3452_17,SeqId.3452-17,P06239,LCK,Tyrosine-protein kinase Lck,LCK,SomaScan v4,6524,LCK,"LCK proto-oncogene, Src family tyrosine kinase",153390,ENSG00000182866,3932
LCK,LCK_4560_34,SeqId.4560-34,P06239,LCK,Tyrosine-protein kinase Lck,LCK,SomaScan v4,6524,LCK,"LCK proto-oncogene, Src family tyrosine kinase",153390,ENSG00000182866,3932
LCMT1,LCMT1_4237_70,SeqId.4237-70,Q9UIC8,LCMT1,Leucine carboxyl methyltransferase 1,LCMT1,SomaScan v4,17557,LCMT1,leucine carboxyl methyltransferase 1,610286,ENSG00000205629,51451
LCN10,LCN10_13007_66,SeqId.13007-66,Q6JVE6,LCN10,Epididymal-specific lipocalin-10,LCN10,SomaScan v4,20892,LCN10,lipocalin 10,612904,ENSG00000187922,414332
LCN8,LCN8_5643_2,SeqId.5643-2,Q6JVE9,LCN8,Epididymal-specific lipocalin-8,LCN8,SomaScan v4,27038,LCN8,lipocalin 8,612902,ENSG00000204001,138307
LCORL,LCORL_4304_18,SeqId.4304-18,Q8N3X6,"transcription factor MLR1, isoform CRA_b",Ligand-dependent nuclear receptor corepressor-like protein,LCORL,SomaScan v4,30776,LCORL,ligand dependent nuclear receptor corepressor like,611799,ENSG00000178177,254251
LCTL,LCTL_10890_135,SeqId.10890-135,Q6UWM7,LCTL,Lactase-like protein,LCTL,SomaScan v4,15583,LCTL,lactase like,617060,ENSG00000188501,197021
LDLR,LDLR_13129_40,SeqId.13129-40,P01130,LDLR,Low-density lipoprotein receptor,LDLR,SomaScan v4,6547,LDLR,low density lipoprotein receptor,606945,ENSG00000130164,3949
LDLRAD4,LDLRAD4_9004_24,SeqId.9004-24,O15165,CR001,Low-density lipoprotein receptor class A domain-containing protein 4,LDLRAD4,SomaScan v4,1224,LDLRAD4,low density lipoprotein receptor class A domain containing 4,606571,ENSG00000168675,753
LDOC1,LDOC1_8378_3,SeqId.8378-3,O95751,LDOC1,Protein LDOC1,LDOC1,SomaScan v4,6548,LDOC1,LDOC1 regulator of NFKB signaling,300402,ENSG00000182195,23641
LECT2,LECT2_16763_11,SeqId.16763-11,O14960,LECT2,Leukocyte cell-derived chemotaxin-2,LECT2,SomaScan v4,6550,LECT2,leukocyte cell derived chemotaxin 2,602882,ENSG00000145826,3950
LEMD1,LEMD1_8040_9,SeqId.8040-9,Q68G75,LEMD1,LEM domain-containing protein 1,LEMD1,SomaScan v4,18725,LEMD1,LEM domain containing 1,610480,ENSG00000186007,93273
LEP,LEP_8484_24,SeqId.8484-24,P41159,Leptin,Leptin,LEP,SomaScan v4,6553,LEP,leptin,164160,ENSG00000174697,3952
LETMD1,LETMD1_5751_14,SeqId.5751-14,Q6P1Q0,HCCR-1,LETM1 domain-containing protein 1,LETMD1,SomaScan v4,24241,LETMD1,LETM1 domain containing 1,619070,ENSG00000050426,25875
LGALS1,LGALS1_8046_9,SeqId.8046-9,P09382,Galectin-1,Galectin-1,LGALS1,SomaScan v4,6561,LGALS1,galectin 1,150570,ENSG00000100097,3956
LGALS13,LGALS13_19147_6,SeqId.19147-6,Q9UHV8,PP13,Galactoside-binding soluble lectin 13,LGALS13,SomaScan v4,15449,LGALS13,galectin 13,608717,ENSG00000105198,29124
LGALS2,LGALS2_3033_57,SeqId.3033-57,P05162,Galectin-2,Galectin-2,LGALS2,SomaScan v4,6562,LGALS2,galectin 2,150571,ENSG00000100079,3957
LGALS7,LGALS7_9196_8,SeqId.9196-8,P47929,Galectin-7,Galectin-7,LGALS7,SomaScan v4,6568,LGALS7,galectin 7,600615,ENSG00000205076,3963
LGALS8,LGALS8_4909_68,SeqId.4909-68,O00214,Galectin-8,Galectin-8,LGALS8,SomaScan v4,6569,LGALS8,galectin 8,606099,ENSG00000116977,3964
LGI3,LGI3_8003_57,SeqId.8003-57,Q8N145,LGI3,Leucine-rich repeat LGI family member 3,LGI3,SomaScan v4,18711,LGI3,leucine rich repeat LGI family member 3,608302,ENSG00000168481,203190
LHCGR,LHCGR_14634_13,SeqId.14634-13,P22888,LSHR,Lutropin-choriogonadotropic hormone receptor,LHCGR,SomaScan v4,6585,LHCGR,luteinizing hormone/choriogonadotropin receptor,152790,ENSG00000138039,3973
LIF,LIF_7790_21,SeqId.7790-21,P15018,LIF,Leukemia inhibitory factor,LIF,SomaScan v4,6596,LIF,LIF interleukin 6 family cytokine,159540,ENSG00000128342,3976
LILRB3,LILRB3_11334_7,SeqId.11334-7,O75022,LIRB3,Leukocyte immunoglobulin-like receptor subfamily B member 3,LILRB3,SomaScan v4,6607,LILRB3,leukocyte immunoglobulin like receptor B3,604820,ENSG00000204577,11025
RCAN1,RCAN1_13465_5,SeqId.13465-5,P53805,CCP1,Calcipressin-1,RCAN1,SomaScan v4,3040,RCAN1,regulator of calcineurin 1,602917,ENSG00000159200,1827
RCN3,RCN3_16858_384,SeqId.16858-384,Q96D15,RCN3,Reticulocalbin-3,RCN3,SomaScan v4,21145,RCN3,reticulocalbin 3,619032,ENSG00000142552,57333
RCVRN,RCVRN_14334_3,SeqId.14334-3,P35243,RECO,Recoverin,RCVRN,SomaScan v4,9937,RCVRN,recoverin,179618,ENSG00000109047,5957
RDH16,RDH16_12881_17,SeqId.12881-17,O75452,RDH16,Retinol dehydrogenase 16,RDH16,SomaScan v4,29674,RDH16,retinol dehydrogenase 16,620043,ENSG00000139547,8608
REG1B,REG1B_16770_3,SeqId.16770-3,P48304,REG1B,Lithostathine-1-beta,REG1B,SomaScan v4,9952,REG1B,regenerating family member 1 beta,167771,ENSG00000172023,5968
RELB,RELB_11464_9,SeqId.11464-9,Q01201,RELB,Transcription factor RelB,RELB,SomaScan v4,9956,RELB,"RELB proto-oncogene, NF-kB subunit",604758,ENSG00000104856,5971
RELL1,RELL1_13399_33,SeqId.13399-33,Q8IUW5,RELL1,RELT-like protein 1,RELL1,SomaScan v4,27379,RELL1,RELT like 1,611212,ENSG00000181826,768211
RELL2,RELL2_6600_70,SeqId.6600-70,Q8NC24,RELL2,RELT-like protein 2,RELL2,SomaScan v4,26902,RELL2,RELT like 2,611213,ENSG00000164620,285613
REPIN1,REPIN1_13554_78,SeqId.13554-78,Q9BWE0,REPI1,Replication initiator 1,REPIN1,SomaScan v4,17922,REPIN1,replication initiator 1,619039,ENSG00000214022,29803
RERG,RERG_17822_57,SeqId.17822-57,Q96A58,RERG,Ras-related and estrogen-regulated growth inhibitor,RERG,SomaScan v4,15980,RERG,RAS like estrogen regulated growth inhibitor,612664,ENSG00000134533,85004
RFFL,RFFL_14186_13,SeqId.14186-13,Q8WZ73,RFFL,E3 ubiquitin-protein ligase rififylin,RFFL,SomaScan v4,24821,RFFL,ring finger and FYVE like domain containing E3 ubiquitin protein ligase,609735,ENSG00000092871,117584
RFNG,RFNG_7203_125,SeqId.7203-125,Q9Y644,RFNG,"Beta-1,3-N-acetylglucosaminyltransferase radical fringe",RFNG,SomaScan v4,9974,RFNG,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,602578,ENSG00000169733,5986
RGS1,RGS1_18945_11,SeqId.18945-11,Q08116,RGS1,Regulator of G-protein signaling 1,RGS1,SomaScan v4,9991,RGS1,regulator of G protein signaling 1,600323,ENSG00000090104,5996
RGS19,RGS19_12713_365,SeqId.12713-365,P49795,RGS19,Regulator of G-protein signaling 19,RGS19,SomaScan v4,13735,RGS19,regulator of G protein signaling 19,605071,ENSG00000171700,10287
RGS21,RGS21_19381_7,SeqId.19381-7,Q2M5E4,RGS21,Regulator of G-protein signaling 21,RGS21,SomaScan v4,26839,RGS21,regulator of G protein signaling 21,612407,ENSG00000253148,431704
RGS3,RGS3_12827_37,SeqId.12827-37,P49796,RGS3,Regulator of G-protein signaling 3,RGS3,SomaScan v4,9999,RGS3,regulator of G protein signaling 3,602189,ENSG00000138835,5998
RGS4,RGS4_17855_28,SeqId.17855-28,P49798,RGS4,Regulator of G-protein signaling 4,RGS4,SomaScan v4,10000,RGS4,regulator of G protein signaling 4,602516,ENSG00000117152,5999
RGS5,RGS5_16850_5,SeqId.16850-5,O15539,RGS5,Regulator of G-protein signaling 5,RGS5,SomaScan v4,10001,RGS5,regulator of G protein signaling 5,603276,ENSG00000143248,8490
RGS7,RGS7_12538_19,SeqId.12538-19,P49802,RGS7,Regulator of G-protein signaling 7,RGS7,SomaScan v4,10003,RGS7,regulator of G protein signaling 7,602517,ENSG00000182901,6000
RGS8,RGS8_11666_72,SeqId.11666-72,P57771,RGS8,Regulator of G-protein signaling 8,RGS8,SomaScan v4,16810,RGS8,regulator of G protein signaling 8,607189,ENSG00000135824,85397
RHOA,RHOA_9855_10,SeqId.9855-10,P61586,Rho A,Transforming protein RhoA,RHOA,SomaScan v4,667,RHOA,ras homolog family member A,165390,ENSG00000067560,387
RHOD,RHOD_12442_4,SeqId.12442-4,O00212,RHOD,Rho-related GTP-binding protein RhoD,RHOD,SomaScan v4,670,RHOD,ras homolog family member D,605781,ENSG00000173156,29984
RHOG,RHOG_12540_25,SeqId.12540-25,P84095,RHOG,Rho-related GTP-binding protein RhoG,RHOG,SomaScan v4,672,RHOG,ras homolog family member G,179505,ENSG00000177105,391
RHPN2,RHPN2_11439_88,SeqId.11439-88,Q8IUC4,RHPN2,Rhophilin-2,RHPN2,SomaScan v4,19974,RHPN2,rhophilin Rho GTPase binding protein 2,617932,ENSG00000131941,85415
RIC3,RIC3_11228_37,SeqId.11228-37,Q7Z5B4,RIC3,Protein RIC-3,RIC3,SomaScan v4,30338,RIC3,RIC3 acetylcholine receptor chaperone,610509,ENSG00000166405,79608
RIPK2,RIPK2_8993_151,SeqId.8993-151,O43353,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,SomaScan v4,10020,RIPK2,receptor interacting serine/threonine kinase 2,603455,ENSG00000104312,8767
RIPPLY1,RIPPLY1_9767_22,SeqId.9767-22,Q0D2K3,RIPP1,Protein ripply1,RIPPLY1,SomaScan v4,25117,RIPPLY1,ripply transcriptional repressor 1,300575,ENSG00000147223,92129
RLBP1,RLBP1_12936_38,SeqId.12936-38,P12271,RLBP1,Retinaldehyde-binding protein 1,RLBP1,SomaScan v4,10024,RLBP1,retinaldehyde binding protein 1,180090,ENSG00000140522,6017
RLN2,RLN2_6621_10,SeqId.6621-10,P04090,REL2,Prorelaxin H2,RLN2,SomaScan v4,10027,RLN2,relaxin 2,179740,ENSG00000107014,6019
RLN3,RLN3_6027_31,SeqId.6027-31,Q8WXF3,REL3,Relaxin-3,RLN3,SomaScan v4,17135,RLN3,relaxin 3,606855,ENSG00000171136,117579
RMDN3,RMDN3_9290_8,SeqId.9290-8,Q96TC7,RMD3,Regulator of microtubule dynamics protein 3,RMDN3,SomaScan v4,25550,RMDN3,regulator of microtubule dynamics 3,611873,ENSG00000137824,55177
RMI1,RMI1_13926_1,SeqId.13926-1,Q9H9A7,RMI1,RecQ-mediated genome instability protein 1,RMI1,SomaScan v4,25764,RMI1,RecQ mediated genome instability 1,610404,ENSG00000178966,80010
RNASE10,RNASE10_5602_62,SeqId.5602-62,Q5GAN6,RNS10,Inactive ribonuclease-like protein 10,RNASE10,SomaScan v4,19275,RNASE10,ribonuclease A family member 10 (inactive),0,ENSG00000182545,338879
RNASE13,RNASE13_6424_2,SeqId.6424-2,Q5GAN3,RNS13,Probable inactive ribonuclease-like protein 13,RNASE13,SomaScan v4,25285,RNASE13,ribonuclease A family member 13 (inactive),0,ENSG00000206150,440163
RND1,RND1_13574_50,SeqId.13574-50,Q92730,RND1,Rho-related GTP-binding protein Rho6,RND1,SomaScan v4,18314,RND1,Rho family GTPase 1,609038,ENSG00000172602,27289
RND3,RND3_15439_21,SeqId.15439-21,P61587,RND3,Rho-related GTP-binding protein RhoE,RND3,SomaScan v4,671,RND3,Rho family GTPase 3,602924,ENSG00000115963,390
RNF114,RNF114_9957_9,SeqId.9957-9,Q9Y508,RN114,E3 ubiquitin-protein ligase RNF114,RNF114,SomaScan v4,13094,RNF114,ring finger protein 114,612451,ENSG00000124226,55905
RNF122,RNF122_11160_56,SeqId.11160-56,Q9H9V4,RN122,RING finger protein 122,RNF122,SomaScan v4,21147,RNF122,ring finger protein 122,620523,ENSG00000133874,79845
RNF128,RNF128_6510_56,SeqId.6510-56,Q8TEB7,RN128,E3 ubiquitin-protein ligase RNF128,RNF128,SomaScan v4,21153,RNF128,ring finger protein 128,300439,ENSG00000133135,79589
RNF128,RNF128_8633_18,SeqId.8633-18,Q8TEB7,RN128,E3 ubiquitin-protein ligase RNF128,RNF128,SomaScan v4,21153,RNF128,ring finger protein 128,300439,ENSG00000133135,79589
RNF13,RNF13_8087_250,SeqId.8087-250,O43567,RNF13,E3 ubiquitin-protein ligase RNF13,RNF13,SomaScan v4,10057,RNF13,ring finger protein 13,609247,ENSG00000082996,11342
RNF146,RNF146_11401_181,SeqId.11401-181,Q9NTX7,RN146,E3 ubiquitin-protein ligase RNF146,RNF146,SomaScan v4,21336,RNF146,ring finger protein 146,612137,ENSG00000118518,81847
RNF148,RNF148_7742_11,SeqId.7742-11,Q8N7C7,RN148,RING finger protein 148,RNF148,SomaScan v4,22411,RNF148,ring finger protein 148,0,ENSG00000235631,378925
RNF148,RNF148_9955_40,SeqId.9955-40,Q8N7C7,RN148,RING finger protein 148,RNF148,SomaScan v4,22411,RNF148,ring finger protein 148,0,ENSG00000235631,378925
RNF149,RNF149_9773_15,SeqId.9773-15,Q8NC42,RN149,E3 ubiquitin-protein ligase RNF149,RNF149,SomaScan v4,23137,RNF149,ring finger protein 149,0,ENSG00000163162,284996
RNF150,RNF150_9774_59,SeqId.9774-59,Q9ULK6,RN150,RING finger protein 150,RNF150,SomaScan v4,23138,RNF150,ring finger protein 150,0,ENSG00000170153,57484
RNF215,RNF215_7758_217,SeqId.7758-217,Q9Y6U7,RN215,RING finger protein 215,RNF215,SomaScan v4,33434,RNF215,ring finger protein 215,0,ENSG00000099999,200312
RNF215,RNF215_9064_12,SeqId.9064-12,Q9Y6U7,RN215,RING finger protein 215,RNF215,SomaScan v4,33434,RNF215,ring finger protein 215,0,ENSG00000099999,200312
RNF24,RNF24_9583_17,SeqId.9583-17,Q9Y225,RNF24,RING finger protein 24,RNF24,SomaScan v4,13779,RNF24,ring finger protein 24,612489,ENSG00000101236,11237
RNF34,RNF34_13386_248,SeqId.13386-248,Q969K3,RNF34,E3 ubiquitin-protein ligase RNF34,RNF34,SomaScan v4,17297,RNF34,ring finger protein 34,608299,ENSG00000170633,80196
RNF41,RNF41_13411_21,SeqId.13411-21,Q9H4P4,RNF41,E3 ubiquitin-protein ligase NRDP1,RNF41,SomaScan v4,18401,RNF41,ring finger protein 41,620051,ENSG00000181852,10193
RNF43,RNF43_14120_2,SeqId.14120-2,Q68DV7,RNF43,E3 ubiquitin-protein ligase RNF43,RNF43,SomaScan v4,18505,RNF43,ring finger protein 43,612482,ENSG00000108375,54894
RNF8,RNF8_14663_44,SeqId.14663-44,O76064,RNF8,E3 ubiquitin-protein ligase RNF8,RNF8,SomaScan v4,10071,RNF8,ring finger protein 8,611685,ENSG00000112130,9025
RNPC3,RNPC3_12814_17,SeqId.12814-17,Q96LT9,RBM40,RNA-binding protein 40,RNPC3,SomaScan v4,18666,RNPC3,"RNA binding region (RNP1, RRM) containing 3",618016,ENSG00000185946,55599
ROBO3,ROBO3_5117_14,SeqId.5117-14,Q96MS0,ROBO3,Roundabout homolog 3,ROBO3,SomaScan v4,13433,ROBO3,roundabout guidance receptor 3,608630,ENSG00000154134,64221
ROCK2,ROCK2_13654_1,SeqId.13654-1,O75116,ROCK2,Rho-associated protein kinase 2,ROCK2,SomaScan v4,10252,ROCK2,Rho associated coiled-coil containing protein kinase 2,604002,ENSG00000134318,9475
SRP14,SRP14_17510_7,SeqId.17510-7,P37108,SRP14,Signal recognition particle 14 kDa protein,SRP14,SomaScan v4,11299,SRP14,signal recognition particle 14,600708,ENSG00000140319,6727
SRP19,SRP19_18257_64,SeqId.18257-64,P09132,SRP19,Signal recognition particle 19 kDa protein,SRP19,SomaScan v4,11300,SRP19,signal recognition particle 19,182175,ENSG00000153037,6728
SRSF6,SRSF6_11573_3,SeqId.11573-3,Q13247,SRSF6,Serine/arginine-rich splicing factor 6,SRSF6,SomaScan v4,10788,SRSF6,serine and arginine rich splicing factor 6,601944,ENSG00000124193,6431
SRSF7,SRSF7_12987_12,SeqId.12987-12,Q16629,SRSF7,Serine/arginine-rich splicing factor 7,SRSF7,SomaScan v4,10789,SRSF7,serine and arginine rich splicing factor 7,600572,ENSG00000115875,6432
SSB,SSB_13625_19,SeqId.13625-19,P05455,LA,Lupus La protein,SSB,SomaScan v4,11316,SSB,small RNA binding exonuclease protection factor La,109090,ENSG00000138385,6741
SSMEM1,SSMEM1_8298_8,SeqId.8298-8,Q8WWF3,CG045,Serine-rich single-pass membrane protein 1,SSMEM1,SomaScan v4,29580,SSMEM1,serine rich single-pass membrane protein 1,0,ENSG00000165120,136263
SSR1,SSR1_8106_15,SeqId.8106-15,P43307,SSRA,Translocon-associated protein subunit alpha,SSR1,SomaScan v4,11323,SSR1,signal sequence receptor subunit 1,600868,ENSG00000124783,6745
SSRP1,SSRP1_5032_64,SeqId.5032-64,Q08945,SSRP1,FACT complex subunit SSRP1,SSRP1,SomaScan v4,11327,SSRP1,structure specific recognition protein 1,604328,ENSG00000149136,6749
SST,SST_5957_30,SeqId.5957-30,P61278,Somatostatin-28,Somatostatin-28,SST,SomaScan v4,11329,SST,somatostatin,182450,ENSG00000157005,6750
SSU72,SSU72_13566_2,SeqId.13566-2,Q9NP77,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,SSU72,SomaScan v4,25016,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",617680,ENSG00000160075,29101
ST3GAL2,ST3GAL2_6281_51,SeqId.6281-51,Q16842,SIA4B,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2",ST3GAL2,SomaScan v4,10863,ST3GAL2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2",607188,ENSG00000157350,6483
ST3GAL5,ST3GAL5_10588_39,SeqId.10588-39,Q9UNP4,SIAT9,"Lactosylceramide alpha-2,3-sialyltransferase",ST3GAL5,SomaScan v4,10872,ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5",604402,ENSG00000115525,8869
ST6GAL1,ST6GAL1_6035_2,SeqId.6035-2,P15907,SIAT1,"Beta-galactoside alpha-2,6-sialyltransferase 1",ST6GAL1,SomaScan v4,10860,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",109675,ENSG00000073849,6480
ST6GALNAC1,ST6GALNAC1_7867_154,SeqId.7867-154,Q9NSC7,SIA7A,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",ST6GALNAC1,SomaScan v4,23614,ST6GALNAC1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",610138,ENSG00000070526,55808
ST6GALNAC2,ST6GALNAC2_7823_22,SeqId.7823-22,Q9UJ37,SIA7B,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",ST6GALNAC2,SomaScan v4,10867,ST6GALNAC2,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",610137,ENSG00000070731,10610
ST8SIA2,ST8SIA2_7920_30,SeqId.7920-30,Q92186,SIA8B,"Alpha-2,8-sialyltransferase 8B",ST8SIA2,SomaScan v4,10870,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",602546,ENSG00000140557,8128
ST8SIA3,ST8SIA3_6929_10,SeqId.6929-10,O43173,SIA8C,"Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase",ST8SIA3,SomaScan v4,14269,ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",609478,ENSG00000177511,51046
ST8SIA4,ST8SIA4_7038_45,SeqId.7038-45,Q92187,SIA8D,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase",ST8SIA4,SomaScan v4,10871,ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",602547,ENSG00000113532,7903
STAB1,STAB1_14599_18,SeqId.14599-18,Q9NY15,STAB1,Stabilin-1,STAB1,SomaScan v4,18628,STAB1,stabilin 1,608560,ENSG00000010327,23166
