Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
PCDH9,PCDH9:Q9HC56:Oncology_II,Q9HC56,8661,PCDH9,603581,ENSG00000184226,5101,OID31516,Protocadherin-9,Olink Explore,Oncology_v1
PCDHB15,PCDHB15:Q9Y5E8:Oncology_II,Q9Y5E8,8686,PCDHB15,606341,ENSG00000113248,56121,OID31377,Protocadherin beta-15,Olink Explore,Oncology_v1
SERPINA5,SERPINA5:P05154:Inflammation_II,P05154,8723,SERPINA5,601841,ENSG00000188488,5104,OID30763,Plasma serine protease inhibitor,Olink Explore,Inflammation_v1
PCOLCE,PCOLCE:Q15113:Cardiometabolic,Q15113,8738,PCOLCE,600270,ENSG00000106333,5118,OID20384,Procollagen C-endopeptidase enhancer 1,Olink Explore,Cardiometabolic_v1
CHMP1A,CHMP1A:Q9HD42:Neurology,Q9HD42,8740,CHMP1A,164010,ENSG00000131165,5119,OID20930,Charged multivesicular body protein 1a,Olink Explore,Neurology_v1
PCSK7,PCSK7:Q16549:Oncology_II,Q16549,8748,PCSK7,604872,ENSG00000160613,9159,OID31410,Proprotein convertase subtilisin/kexin type 7,Olink Explore,Oncology_v1
PCYT2,PCYT2:Q99447:Oncology_II,Q99447,8756,PCYT2,602679,ENSG00000185813,5833,OID31519,Ethanolamine-phosphate cytidylyltransferase,Olink Explore,Oncology_v1
PDCD1,PDCD1:Q15116:Oncology,Q15116,8760,PDCD1,600244,ENSG00000188389,5133,OID21396,Programmed cell death protein 1,Olink Explore,Oncology_v1
PDCD5,PDCD5:O14737:Neurology,O14737,8764,PDCD5,604583,ENSG00000105185,9141,OID21021,Programmed cell death protein 5,Olink Explore,Neurology_v1
PDCD6,PDCD6:O75340:Cardiometabolic,O75340,8765,PDCD6,601057,ENSG00000249915,10016,OID20163,Programmed cell death protein 6,Olink Explore,Cardiometabolic_v1
AIFM1,AIFM1:O95831:Oncology,O95831,8768,AIFM1,300169,ENSG00000156709,9131,OID21287,"Apoptosis-inducing factor 1, mitochondrial",Olink Explore,Oncology_v1
PDE5A,PDE5A:O76074:Inflammation_II,O76074,8784,PDE5A,603310,ENSG00000138735,8654,OID30584,"cGMP-specific 3',5'-cyclic phosphodiesterase",Olink Explore,Inflammation_v1
PDGFA,PDGFA:P04085:Cardiometabolic,P04085,8799,PDGFA,173430,ENSG00000197461,5154,OID20313,Platelet-derived growth factor subunit A,Olink Explore,Cardiometabolic_v1
PDGFB,PDGFB:P01127:Inflammation,P01127,8800,PDGFB,190040,ENSG00000100311,5155,OID20741,Platelet-derived growth factor subunit B,Olink Explore,Inflammation_v1
PDGFC,PDGFC:Q9NRA1:Oncology,Q9NRA1,8801,PDGFC,608452,ENSG00000145431,56034,OID21183,Platelet-derived growth factor C,Olink Explore,Oncology_v1
PDGFRA,PDGFRA:P16234:Cardiometabolic,P16234,8803,PDGFRA,173490,ENSG00000134853,5156,OID20133,Platelet-derived growth factor receptor alpha,Olink Explore,Cardiometabolic_v1
PDGFRB,PDGFRB:P09619:Cardiometabolic,P09619,8804,PDGFRB,173410,ENSG00000113721,5159,OID20268,Platelet-derived growth factor receptor beta,Olink Explore,Cardiometabolic_v1
PDZK1,PDZK1:Q5T2W1:Inflammation_II,Q5T2W1,8821,PDZK1,603831,ENSG00000174827,5174,OID30550,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,Olink Explore,Inflammation_v1
PECAM1,PECAM1:P16284:Neurology,P16284,8823,PECAM1,173445,ENSG00000261371,5175,OID21131,Platelet endothelial cell adhesion molecule,Olink Explore,Neurology_v1
SERPINF1,SERPINF1:P36955:Inflammation_II,P36955,8824,SERPINF1,172860,ENSG00000132386,5176,OID30757,Pigment epithelium-derived factor,Olink Explore,Inflammation_v1
PENK,PENK:P01210:Inflammation_II,P01210,8831,PENK,131330,ENSG00000181195,5179,OID30666,Proenkephalin-A,Olink Explore,Inflammation_v1
PEPD,PEPD:P12955:Inflammation_II,P12955,8840,PEPD,613230,ENSG00000124299,5184,OID30688,Xaa-Pro dipeptidase,Olink Explore,Inflammation_v1
PER3,PER3:P56645:Inflammation_II,P56645,8847,PER3,603427,ENSG00000049246,8863,OID30511,Period circadian protein homolog 3,Olink Explore,Inflammation_v1
PF4,PF4:P02776:Inflammation_II,P02776,8861,PF4,173460,ENSG00000163737,5196,OID30764,Platelet factor 4,Olink Explore,Inflammation_v1
CFP,CFP:P27918:Inflammation_II,P27918,8864,CFP,300383,ENSG00000126759,5199,OID30784,Properdin,Olink Explore,Inflammation_v1
PFKFB2,PFKFB2:O60825:Oncology,O60825,8873,PFKFB2,171835,ENSG00000123836,5208,OID21356,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",Olink Explore,Oncology_v1
PGA4,PGA4:P0DJD7:Inflammation_II,P0DJD7,8886,PGA4,169720,ENSG00000229183,643847,OID30699,Pepsin A-4,Olink Explore,Inflammation_v1
PGD,PGD:P52209:Cardiometabolic_II,P52209,8891,PGD,172200,ENSG00000142657,5226,OID30344,"6-phosphogluconate dehydrogenase, decarboxylating",Olink Explore,Cardiometabolic_v1
PGF,PGF:P49763:Inflammation,P49763,8893,PGF,601121,ENSG00000119630,5228,OID20673,Placenta growth factor,Olink Explore,Inflammation_v1
PGLYRP1,PGLYRP1:O75594:Cardiometabolic,O75594,8904,PGLYRP1,604963,ENSG00000008438,8993,OID20338,Peptidoglycan recognition protein 1,Olink Explore,Cardiometabolic_v1
PGR,PGR:P06401:Inflammation_II,P06401,8910,PGR,607311,ENSG00000082175,5241,OID30460,Progesterone receptor,Olink Explore,Inflammation_v1
SERPINA1,SERPINA1:P01009:Inflammation_II,P01009,8941,SERPINA1,107400,ENSG00000197249,5265,OID30750,Alpha-1-antitrypsin,Olink Explore,Inflammation_v1
SERPINI1,SERPINI1:Q99574:Inflammation_II,Q99574,8943,SERPINI1,602445,ENSG00000163536,5274,OID30604,Neuroserpin,Olink Explore,Inflammation_v1
SERPINI2,SERPINI2:O75830:Oncology_II,O75830,8945,SERPINI2,605587,ENSG00000114204,5276,OID31504,Serpin I2,Olink Explore,Oncology_v1
PI3,PI3:P19957:Cardiometabolic,P19957,8947,PI3,182257,ENSG00000124102,5266,OID20326,Elafin,Olink Explore,Cardiometabolic_v1
SERPINA4,SERPINA4:P29622:Inflammation_II,P29622,8948,SERPINA4,147935,ENSG00000100665,5267,OID30774,Kallistatin,Olink Explore,Inflammation_v1
SERPINB5,SERPINB5:P36952:Cardiometabolic,P36952,8949,SERPINB5,154790,ENSG00000206075,5268,OID20064,Serpin B5,Olink Explore,Cardiometabolic_v1
SERPINB6,SERPINB6:P35237:Neurology,P35237,8950,SERPINB6,173321,ENSG00000124570,5269,OID21023,Serpin B6,Olink Explore,Neurology_v1
SERPINE2,SERPINE2:P07093:Cardiometabolic_II,P07093,8951,SERPINE2,177010,ENSG00000135919,5270,OID30359,Glia-derived nexin,Olink Explore,Cardiometabolic_v1
SERPINB8,SERPINB8:P50452:Inflammation,P50452,8952,SERPINB8,601697,ENSG00000166401,5271,OID20630,Serpin B8,Olink Explore,Inflammation_v1
SERPINB9,SERPINB9:P50453:Neurology,P50453,8955,SERPINB9,601799,ENSG00000170542,5272,OID20932,Serpin B9,Olink Explore,Neurology_v1
INPP5J,INPP5J:Q15735:Neurology_II,Q15735,8956,INPP5J,606481,ENSG00000185133,27124,OID30975,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",Olink Explore,Neurology_v1
PIGR,PIGR:P01833:Neurology,P01833,8968,PIGR,173880,ENSG00000162896,5284,OID21102,Polymeric immunoglobulin receptor,Olink Explore,Neurology_v1
PKD1,PKD1:P98161:Cardiometabolic_II,P98161,9008,PKD1,601313,ENSG00000008710,5310,OID30328,Polycystin-1,Olink Explore,Cardiometabolic_v1
PKD2,PKD2:Q13563:Cardiometabolic_II,Q13563,9009,PKD2,173910,ENSG00000118762,5311,OID30184,Polycystin-2,Olink Explore,Cardiometabolic_v1
PKLR,PKLR:P30613:Inflammation,P30613,9020,PKLR,609712,ENSG00000143627,5313,OID20682,Pyruvate kinase PKLR,Olink Explore,Inflammation_v1
PLA2G10,PLA2G10:O15496:Neurology,O15496,9029,PLA2G10,603603,ENSG00000069764,8399,OID21002,Group 10 secretory phospholipase A2,Olink Explore,Neurology_v1
PLA2G1B,PLA2G1B:P04054:Cardiometabolic,P04054,9030,PLA2G1B,172410,ENSG00000170890,5319,OID20252,Phospholipase A2,Olink Explore,Cardiometabolic_v1
PLA2G2A,PLA2G2A:P14555:Cardiometabolic,P14555,9031,PLA2G2A,172411,ENSG00000188257,5320,OID20274,"Phospholipase A2, membrane associated",Olink Explore,Cardiometabolic_v1
PLA2G4A,PLA2G4A:P47712:Inflammation,P47712,9035,PLA2G4A,600522,ENSG00000116711,5321,OID20685,Cytosolic phospholipase A2,Olink Explore,Inflammation_v1
PLA2G7,PLA2G7:Q13093:Neurology,Q13093,9040,PLA2G7,601690,ENSG00000146070,7941,OID21105,Platelet-activating factor acetylhydrolase,Olink Explore,Neurology_v1
PLAT,PLAT:P00750:Cardiometabolic,P00750,9051,PLAT,173370,ENSG00000104368,5327,OID20247,Tissue-type plasminogen activator,Olink Explore,Cardiometabolic_v1
PLAU,PLAU:P00749:Neurology,P00749,9052,PLAU,191840,ENSG00000122861,5328,OID21124,Urokinase-type plasminogen activator,Olink Explore,Neurology_v1
PLAUR,PLAUR:Q03405:Inflammation,Q03405,9053,PLAUR,173391,ENSG00000011422,5329,OID20764,Urokinase plasminogen activator surface receptor,Olink Explore,Inflammation_v1
PLCB2,PLCB2:Q00722:Neurology_II,Q00722,9055,PLCB2,604114,ENSG00000137841,5330,OID31155,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",Olink Explore,Neurology_v1
PLG,PLG:P00747:Inflammation_II,P00747,9071,PLG,173350,ENSG00000122194,5340,OID30785,Plasminogen,Olink Explore,Inflammation_v1
SERPINF2,SERPINF2:P08697:Inflammation_II,P08697,9075,SERPINF2,613168,ENSG00000167711,5345,OID30779,Alpha-2-antiplasmin,Olink Explore,Inflammation_v1
PLIN1,PLIN1:O60240:Neurology,O60240,9076,PLIN1,170290,ENSG00000166819,5346,OID20835,Perilipin-1,Olink Explore,Neurology_v1
PLTP,PLTP:P55058:Cardiometabolic,P55058,9093,PLTP,172425,ENSG00000100979,5360,OID20238,Phospholipid transfer protein,Olink Explore,Cardiometabolic_v1
PLXNA4,PLXNA4:Q9HCM2:Inflammation,Q9HCM2,9102,PLXNA4,604280,ENSG00000221866,91584,OID20597,Plexin-A4,Olink Explore,Inflammation_v1
PLXNB2,PLXNB2:O15031:Cardiometabolic,O15031,9104,PLXNB2,604293,ENSG00000196576,23654,OID20317,Plexin-B2,Olink Explore,Cardiometabolic_v1
PLXNB3,PLXNB3:Q9ULL4:Cardiometabolic,Q9ULL4,9105,PLXNB3,300214,ENSG00000198753,5365,OID20160,Plexin-B3,Olink Explore,Cardiometabolic_v1
PMM2,PMM2:O15305:Cardiometabolic_II,O15305,9115,PMM2,601785,ENSG00000140650,5373,OID30125,Phosphomannomutase 2,Olink Explore,Cardiometabolic_v1
PMS1,PMS1:P54277:Neurology_II,P54277,9121,PMS1,600258,ENSG00000064933,5378,OID30943,PMS1 protein homolog 1,Olink Explore,Neurology_v1
EXOSC10,EXOSC10:Q01780:Cardiometabolic_II,Q01780,9138,EXOSC10,605960,ENSG00000171824,5394,OID30083,Exosome component 10,Olink Explore,Cardiometabolic_v1
PMVK,PMVK:Q15126:Neurology,Q15126,9141,PMVK,607622,ENSG00000163344,10654,OID20850,Phosphomevalonate kinase,Olink Explore,Neurology_v1
PNLIP,PNLIP:P16233:Inflammation_II,P16233,9155,PNLIP,246600,ENSG00000175535,5406,OID30693,Pancreatic triacylglycerol lipase,Olink Explore,Inflammation_v1
PNLIPRP1,PNLIPRP1:P54315:Neurology_II,P54315,9156,PNLIPRP1,604422,ENSG00000187021,5407,OID31122,Inactive pancreatic lipase-related protein 1,Olink Explore,Neurology_v1
PNLIPRP2,PNLIPRP2:P54317:Inflammation,P54317,9157,PNLIPRP2,604423,ENSG00000266200,5408,OID20775,Pancreatic lipase-related protein 2,Olink Explore,Inflammation_v1
PNMA1,PNMA1:Q8ND90:Cardiometabolic_II,Q8ND90,9158,PNMA1,604010,ENSG00000176903,9240,OID30194,Paraneoplastic antigen Ma1,Olink Explore,Cardiometabolic_v1
PODXL,PODXL:O00592:Oncology,O00592,9171,PODXL,602632,ENSG00000128567,5420,OID21358,Podocalyxin,Olink Explore,Oncology_v1
POLR2F,POLR2F:P61218:Oncology,P61218,9193,POLR2F,604414,ENSG00000100142,5435,OID21283,"DNA-directed RNA polymerases I, II, and III subunit RPABC2",Olink Explore,Oncology_v1
POMC,POMC:P01189:Cardiometabolic_II,P01189,9201,POMC,176830,ENSG00000115138,5443,OID30282,Pro-opiomelanocortin,Olink Explore,Cardiometabolic_v1
PON1,PON1:P27169:Inflammation_II,P27169,9204,PON1,168820,ENSG00000005421,5444,OID30704,Serum paraoxonase/arylesterase 1,Olink Explore,Inflammation_v1
PON2,PON2:Q15165:Cardiometabolic,Q15165,9205,PON2,602447,ENSG00000105854,5445,OID20088,Serum paraoxonase/arylesterase 2,Olink Explore,Cardiometabolic_v1
PON3,PON3:Q15166:Inflammation,Q15166,9206,PON3,602720,ENSG00000105852,5446,OID20777,Serum paraoxonase/lactonase 3,Olink Explore,Inflammation_v1
PPBP,PPBP:P02775:Inflammation_II,P02775,9240,PPBP,121010,ENSG00000163736,5473,OID30761,Platelet basic protein,Olink Explore,Inflammation_v1
PPIB,PPIB:P23284:Cardiometabolic,P23284,9255,PPIB,123841,ENSG00000166794,5479,OID20331,Peptidyl-prolyl cis-trans isomerase B,Olink Explore,Cardiometabolic_v1
PPIE,PPIE:Q9UNP9:Oncology_II,Q9UNP9,9258,PPIE,602435,ENSG00000084072,10450,OID31279,Peptidyl-prolyl cis-trans isomerase E,Olink Explore,Oncology_v1
PPIF,PPIF:P30405:Cardiometabolic_II,P30405,9259,PPIF,604486,ENSG00000108179,10105,OID30385,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Olink Explore,Cardiometabolic_v1
PPL,PPL:O60437:Inflammation_II,O60437,9273,PPL,602871,ENSG00000118898,5493,OID30564,Periplakin,Olink Explore,Inflammation_v1
PPP1CC,PPP1CC:P36873:Oncology_II,P36873,9283,PPP1CC,176914,ENSG00000186298,5501,OID31360,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,Olink Explore,Oncology_v1
PPP1R2,PPP1R2:P41236:Cardiometabolic,P41236,9288,PPP1R2,601792,ENSG00000184203,5504,OID20176,Protein phosphatase inhibitor 2,Olink Explore,Cardiometabolic_v1
PPP1R9B,PPP1R9B:Q96SB3:Inflammation,Q96SB3,9298,PPP1R9B,603325,ENSG00000108819,84687,OID20643,Neurabin-2,Olink Explore,Inflammation_v1
PPP2R5A,PPP2R5A:Q15172:Oncology_II,Q15172,9309,PPP2R5A,601643,ENSG00000066027,5525,OID31502,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,Olink Explore,Oncology_v1
PPP3R1,PPP3R1:P63098:Neurology,P63098,9317,PPP3R1,601302,ENSG00000221823,5534,OID20902,Calcineurin subunit B type 1,Olink Explore,Neurology_v1
PPY,PPY:P01298:Oncology,P01298,9327,PPY,167780,ENSG00000108849,5539,OID21516,Pancreatic prohormone,Olink Explore,Oncology_v1
PRCP,PRCP:P42785:Cardiometabolic,P42785,9344,PRCP,176785,ENSG00000137509,5547,OID20337,Lysosomal Pro-X carboxypeptidase,Olink Explore,Cardiometabolic_v1
PRDX1,PRDX1:Q06830:Neurology,Q06830,9352,PRDX1,176763,ENSG00000117450,5052,OID20962,Peroxiredoxin-1,Olink Explore,Neurology_v1
PRDX2,PRDX2:P32119:Inflammation_II,P32119,9353,PRDX2,600538,ENSG00000167815,7001,OID30668,Peroxiredoxin-2,Olink Explore,Inflammation_v1
PRDX3,PRDX3:P30048:Inflammation,P30048,9354,PRDX3,604769,ENSG00000165672,10935,OID20483,"Thioredoxin-dependent peroxide reductase, mitochondrial",Olink Explore,Inflammation_v1
PRDX5,PRDX5:P30044:Inflammation,P30044,9355,PRDX5,606583,ENSG00000126432,25824,OID20644,"Peroxiredoxin-5, mitochondrial",Olink Explore,Inflammation_v1
PREB,PREB:Q9HCU5:Inflammation,Q9HCU5,9356,PREB,606395,ENSG00000138073,10113,OID20439,Prolactin regulatory element-binding protein,Olink Explore,Inflammation_v1
PRELP,PRELP:P51888:Inflammation,P51888,9357,PRELP,601914,ENSG00000188783,5549,OID20766,Prolargin,Olink Explore,Inflammation_v1
PRG2,PRG2:P13727:Cardiometabolic_II,P13727,9362,PRG2,605601,ENSG00000186652,5553,OID30381,Bone marrow proteoglycan,Olink Explore,Cardiometabolic_v1
PRG3,PRG3:Q9Y2Y8:Cardiometabolic_II,Q9Y2Y8,9363,PRG3,606814,ENSG00000156575,10394,OID30383,Proteoglycan 3,Olink Explore,Cardiometabolic_v1
PRKAB1,PRKAB1:Q9Y478:Inflammation,Q9Y478,9378,PRKAB1,602740,ENSG00000111725,5564,OID20444,5'-AMP-activated protein kinase subunit beta-1,Olink Explore,Inflammation_v1
PRKAR1A,PRKAR1A:P10644:Cardiometabolic,P10644,9388,PRKAR1A,188830,ENSG00000108946,5573,OID20146,cAMP-dependent protein kinase type I-alpha regulatory subunit,Olink Explore,Cardiometabolic_v1
PRKAR2A,PRKAR2A:P13861:Neurology_II,P13861,9391,PRKAR2A,176910,ENSG00000114302,5576,OID31119,cAMP-dependent protein kinase type II-alpha regulatory subunit,Olink Explore,Neurology_v1
PRKG1,PRKG1:Q13976:Inflammation_II,Q13976,9414,PRKG1,176894,ENSG00000185532,5592,OID30621,cGMP-dependent protein kinase 1,Olink Explore,Inflammation_v1
EIF2AK2,EIF2AK2:P19525:Oncology_II,P19525,9437,EIF2AK2,176871,ENSG00000055332,5610,OID31442,"Interferon-induced, double-stranded RNA-activated protein kinase",Olink Explore,Oncology_v1
PRKRA,PRKRA:O75569:Oncology,O75569,9438,PRKRA,603424,ENSG00000180228,8575,OID21225,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,Olink Explore,Oncology_v1
THAP12,THAP12:O43422:Oncology_II,O43422,9440,THAP12,607374,ENSG00000137492,5612,OID31238,52 kDa repressor of the inhibitor of the protein kinase,Olink Explore,Oncology_v1
PRL,PRL:P01236:Neurology,P01236,9445,PRL,176760,ENSG00000172179,5617,OID21033,Prolactin,Olink Explore,Neurology_v1
PROC,PROC:P04070:Cardiometabolic,P04070,9451,PROC,612283,ENSG00000115718,5624,OID20402,Vitamin K-dependent protein C,Olink Explore,Cardiometabolic_v1
PROCR,PROCR:Q9UNN8:Cardiometabolic_II,Q9UNN8,9452,PROCR,600646,ENSG00000101000,10544,OID30149,Endothelial protein C receptor,Olink Explore,Cardiometabolic_v1
PROS1,PROS1:P07225:Inflammation_II,P07225,9456,PROS1,176880,ENSG00000184500,5627,OID30737,Vitamin K-dependent protein S,Olink Explore,Inflammation_v1
PLPBP,PLPBP:O94903:Cardiometabolic,O94903,9457,PLPBP,604436,ENSG00000147471,11212,OID20144,Pyridoxal phosphate homeostasis protein,Olink Explore,Cardiometabolic_v1
LGMN,LGMN:Q99538:Inflammation,Q99538,9472,LGMN,602620,ENSG00000100600,5641,OID20773,Legumain,Olink Explore,Inflammation_v1
LONP1,LONP1:P36776:Cardiometabolic_II,P36776,9479,LONP1,605490,ENSG00000196365,9361,OID30219,"Lon protease homolog, mitochondrial",Olink Explore,Cardiometabolic_v1
PRSS2,PRSS2:P07478:Cardiometabolic,P07478,9483,PRSS2,601564,ENSG00000275896,5645,OID20364,Trypsin-2,Olink Explore,Cardiometabolic_v1
TMPRSS15,TMPRSS15:P98073:Oncology,P98073,9490,TMPRSS15,606635,ENSG00000154646,5651,OID21364,Enteropeptidase,Olink Explore,Oncology_v1
PRSS8,PRSS8:Q16651:Inflammation,Q16651,9491,PRSS8,600823,ENSG00000052344,5652,OID20763,Prostasin,Olink Explore,Inflammation_v1
PRTN3,PRTN3:P24158:Cardiometabolic,P24158,9495,PRTN3,177020,ENSG00000196415,5657,OID20329,Myeloblastin,Olink Explore,Cardiometabolic_v1
PSAP,PSAP:P07602:Cardiometabolic_II,P07602,9498,PSAP,176801,ENSG00000197746,5660,OID30419,Prosaposin,Olink Explore,Cardiometabolic_v1
PSCA,PSCA:O43653:Oncology_II,O43653,9500,PSCA,602470,ENSG00000167653,8000,OID31493,Prostate stem cell antigen,Olink Explore,Oncology_v1
PSG1,PSG1:P11464:Neurology,P11464,9514,PSG1,176390,ENSG00000231924,5669,OID20916,Pregnancy-specific beta-1-glycoprotein 1,Olink Explore,Neurology_v1
PSIP1,PSIP1:O75475:Inflammation,O75475,9527,PSIP1,603620,ENSG00000164985,11168,OID20534,PC4 and SFRS1-interacting protein,Olink Explore,Inflammation_v1
PSMD9,PSMD9:O00233:Oncology,O00233,9567,PSMD9,603146,ENSG00000110801,5715,OID21304,26S proteasome non-ATPase regulatory subunit 9,Olink Explore,Oncology_v1
PSME1,PSME1:Q06323:Neurology,Q06323,9568,PSME1,600654,ENSG00000092010,5720,OID20969,Proteasome activator complex subunit 1,Olink Explore,Neurology_v1
PSME2,PSME2:Q9UL46:Neurology,Q9UL46,9569,PSME2,602161,ENSG00000100911,5721,OID20989,Proteasome activator complex subunit 2,Olink Explore,Neurology_v1
PSPN,PSPN:O60542:Inflammation,O60542,9579,PSPN,602921,ENSG00000125650,5623,OID20511,Persephin,Olink Explore,Inflammation_v1
PSTPIP2,PSTPIP2:Q9H939:Inflammation_II,Q9H939,9581,PSTPIP2,616046,ENSG00000152229,9050,OID30596,Proline-serine-threonine phosphatase-interacting protein 2,Olink Explore,Inflammation_v1
PTGDS,PTGDS:P41222:Cardiometabolic,P41222,9592,PTGDS,176803,ENSG00000107317,5730,OID20408,Prostaglandin-H2 D-isomerase,Olink Explore,Cardiometabolic_v1
PTH,PTH:P01270:Neurology_II,P01270,9606,PTH,168450,ENSG00000152266,5741,OID30963,Parathyroid hormone,Olink Explore,Neurology_v1
PTH1R,PTH1R:Q03431:Inflammation,Q03431,9608,PTH1R,168468,ENSG00000160801,5745,OID20571,Parathyroid hormone/parathyroid hormone-related peptide receptor,Olink Explore,Inflammation_v1
PTK7,PTK7:Q13308:Neurology,Q13308,9618,PTK7,601890,ENSG00000112655,5754,OID20880,Inactive tyrosine-protein kinase 7,Olink Explore,Neurology_v1
TWF2,TWF2:Q6IBS0:Cardiometabolic_II,Q6IBS0,9621,TWF2,607433,ENSG00000247596,11344,OID30386,Twinfilin-2,Olink Explore,Cardiometabolic_v1
PTN,PTN:P21246:Cardiometabolic,P21246,9630,PTN,162095,ENSG00000105894,5764,OID20083,Pleiotrophin,Olink Explore,Cardiometabolic_v1
PTP4A3,PTP4A3:O75365:Inflammation_II,O75365,9636,PTP4A3,606449,ENSG00000184489,11156,OID30469,Protein tyrosine phosphatase type IVA 3,Olink Explore,Inflammation_v1
PTPN1,PTPN1:P18031:Neurology,P18031,9642,PTPN1,176885,ENSG00000196396,5770,OID20908,Tyrosine-protein phosphatase non-receptor type 1,Olink Explore,Neurology_v1
PTPN6,PTPN6:P29350:Inflammation,P29350,9658,PTPN6,176883,ENSG00000111679,5777,OID20717,Tyrosine-protein phosphatase non-receptor type 6,Olink Explore,Inflammation_v1
SIRPA,SIRPA:P78324:Cardiometabolic,P78324,9662,SIRPA,602461,ENSG00000198053,140885,OID20304,Tyrosine-protein phosphatase non-receptor type substrate 1,Olink Explore,Cardiometabolic_v1
PTPRB,PTPRB:P23467:Cardiometabolic_II,P23467,9665,PTPRB,176882,ENSG00000127329,5787,OID30324,Receptor-type tyrosine-protein phosphatase beta,Olink Explore,Cardiometabolic_v1
PTPRC,PTPRC:P08575:Cardiometabolic_II,P08575,9666,PTPRC,151460,ENSG00000081237,5788,OID30380,Receptor-type tyrosine-protein phosphatase C,Olink Explore,Cardiometabolic_v1
PTPRF,PTPRF:P10586:Cardiometabolic,P10586,9670,PTPRF,179590,ENSG00000142949,5792,OID20310,Receptor-type tyrosine-protein phosphatase F,Olink Explore,Cardiometabolic_v1
PTPRH,PTPRH:Q9HD43:Oncology_II,Q9HD43,9672,PTPRH,602510,ENSG00000080031,5794,OID31433,Receptor-type tyrosine-protein phosphatase H,Olink Explore,Oncology_v1
PTPRK,PTPRK:Q15262:Oncology_II,Q15262,9674,PTPRK,602545,ENSG00000152894,5796,OID31461,Receptor-type tyrosine-protein phosphatase kappa,Olink Explore,Oncology_v1
PTPRM,PTPRM:P28827:Inflammation,P28827,9675,PTPRM,176888,ENSG00000173482,5797,OID20598,Receptor-type tyrosine-protein phosphatase mu,Olink Explore,Inflammation_v1
PTPRN2,PTPRN2:Q92932:Neurology,Q92932,9677,PTPRN2,601698,ENSG00000155093,5799,OID20912,Receptor-type tyrosine-protein phosphatase N2,Olink Explore,Neurology_v1
PTPRR,PTPRR:Q15256:Neurology_II,Q15256,9680,PTPRR,602853,ENSG00000153233,5801,OID31099,Receptor-type tyrosine-protein phosphatase R,Olink Explore,Neurology_v1
PTPRS,PTPRS:Q13332:Cardiometabolic,Q13332,9681,PTPRS,601576,ENSG00000105426,5802,OID20306,Receptor-type tyrosine-protein phosphatase S,Olink Explore,Cardiometabolic_v1
PTPRZ1,PTPRZ1:P23471:Cardiometabolic_II,P23471,9685,PTPRZ1,176891,ENSG00000106278,5803,OID30343,Receptor-type tyrosine-protein phosphatase zeta,Olink Explore,Cardiometabolic_v1
PTS,PTS:Q03393:Neurology,Q03393,9689,PTS,612719,ENSG00000150787,5805,OID20847,6-pyruvoyl tetrahydrobiopterin synthase,Olink Explore,Neurology_v1
PTX3,PTX3:P26022:Inflammation,P26022,9692,PTX3,602492,ENSG00000163661,5806,OID20570,Pentraxin-related protein PTX3,Olink Explore,Inflammation_v1
IGDCC3,IGDCC3:Q8IVU1:Neurology_II,Q8IVU1,9700,IGDCC3,604184,ENSG00000174498,9543,OID30862,Immunoglobulin superfamily DCC subclass member 3,Olink Explore,Neurology_v1
PVALB,PVALB:P20472:Oncology,P20472,9704,PVALB,168890,ENSG00000100362,5816,OID21420,Parvalbumin alpha,Olink Explore,Oncology_v1
PVR,PVR:P15151:Neurology,P15151,9705,PVR,173850,ENSG00000073008,5817,OID21011,Poliovirus receptor,Olink Explore,Neurology_v1
NECTIN1,NECTIN1:Q15223:Inflammation_II,Q15223,9706,NECTIN1,600644,ENSG00000110400,5818,OID30545,Nectin-1,Olink Explore,Inflammation_v1
NECTIN2,NECTIN2:Q92692:Cardiometabolic,Q92692,9707,NECTIN2,600798,ENSG00000130202,5819,OID20222,Nectin-2,Olink Explore,Cardiometabolic_v1
PXN,PXN:P49023:Neurology,P49023,9718,PXN,602505,ENSG00000089159,5829,OID20822,Paxillin,Olink Explore,Neurology_v1
PYY,PYY:P10082:Cardiometabolic_II,P10082,9748,PYY,600781,ENSG00000131096,5697,OID30150,Peptide YY,Olink Explore,Cardiometabolic_v1
PZP,PZP:P20742:Inflammation_II,P20742,9750,PZP,176420,ENSG00000126838,5858,OID30730,Pregnancy zone protein,Olink Explore,Inflammation_v1
QDPR,QDPR:P09417:Cardiometabolic,P09417,9752,QDPR,612676,ENSG00000151552,5860,OID20174,Dihydropteridine reductase,Olink Explore,Cardiometabolic_v1
