Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel,DECODE_exposure,DCODE_seqid,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
HIBCH,0,Q6NVY1,0,0,0,0,0,0,0,0,0,HIBCH_12396_19,SeqId.12396-19,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,SomaScan v4,4908.0,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,610690,ENSG00000198130,26275.0,4908.0,HIBCH,610690,ENSG00000198130,26275.0,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
HINT1,0,P49773,0,0,0,0,0,0,0,0,0,HINT1_5900_11,SeqId.5900-11,HINT1,Histidine triad nucleotide-binding protein 1,HINT1,SomaScan v4,4912.0,HINT1,histidine triad nucleotide binding protein 1,601314,ENSG00000169567,3094.0,4912.0,HINT1,601314,ENSG00000169567,3094.0,Histidine triad nucleotide-binding protein 1
HK2,0,P52789,0,0,0,0,0,0,0,0,0,HK2_13130_150,SeqId.13130-150,HXK2,Hexokinase-2,HK2,SomaScan v4,4923.0,HK2,hexokinase 2,601125,ENSG00000159399,3099.0,4923.0,HK2,601125,ENSG00000159399,3099.0,Hexokinase-2
HMGCS2,0,P54868,0,0,0,0,0,0,0,0,0,HMGCS2_13704_5,SeqId.13704-5,HMCS2,"Hydroxymethylglutaryl-CoA synthase, mitochondrial",HMGCS2,SomaScan v4,5008.0,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2,600234,ENSG00000134240,3158.0,5008.0,HMGCS2,600234,ENSG00000134240,3158.0,"Hydroxymethylglutaryl-CoA synthase, mitochondrial"
HNRNPAB,0,Q99729,0,0,0,0,0,0,0,0,0,HNRNPAB_8894_80,SeqId.8894-80,hnRNP A/B,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,SomaScan v4,5034.0,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B,602688,ENSG00000197451,3182.0,5034.0,HNRNPAB,602688,ENSG00000197451,3182.0,Heterogeneous nuclear ribonucleoprotein A/B
HOMER2,0,Q9NSB8,0,0,0,0,0,0,0,0,0,HOMER2_12685_57,SeqId.12685-57,HOME2,Homer protein homolog 2,HOMER2,SomaScan v4,17513.0,HOMER2,homer scaffold protein 2,604799,ENSG00000103942,9455.0,17513.0,HOMER2,604799,ENSG00000103942,9455.0,Homer protein homolog 2
HP,0,P00738,0,0,0,0,0,0,0,0,0,HP_3054_3,SeqId.3054-3,"Haptoglobin, Mixed Type",Haptoglobin,HP,SomaScan v4,5141.0,HP,haptoglobin,140100,ENSG00000257017,3240.0,5141.0,HP,140100,ENSG00000257017,3240.0,Haptoglobin
HP,0,P00738,0,0,0,0,0,0,0,0,0,HP_7905_30,SeqId.7905-30,HPT,Haptoglobin isoform 2,HP,SomaScan v4,5141.0,HP,haptoglobin,140100,ENSG00000257017,3240.0,5141.0,HP,140100,ENSG00000257017,3240.0,Haptoglobin isoform 2
WBP2,0,Q969T9,0,0,0,0,0,0,0,0,0,WBP2_17698_15,SeqId.17698-15,WBP2,WW domain-binding protein 2,WBP2,SomaScan v4,12738.0,WBP2,WW domain binding protein 2,606962,ENSG00000132471,23558.0,12738.0,WBP2,606962,ENSG00000132471,23558.0,WW domain-binding protein 2
WFDC5,0,Q8TCV5,0,0,0,0,0,0,0,0,0,WFDC5_6969_14,SeqId.6969-14,WFDC5,WAP four-disulfide core domain protein 5,WFDC5,SomaScan v4,20477.0,WFDC5,WAP four-disulfide core domain 5,605161,ENSG00000175121,149708.0,20477.0,WFDC5,605161,ENSG00000175121,149708.0,WAP four-disulfide core domain protein 5
WWOX,0,Q9NZC7,0,0,0,0,0,0,0,0,0,WWOX_17724_3,SeqId.17724-3,WWOX,WW domain-containing oxidoreductase,WWOX,SomaScan v4,12799.0,WWOX,WW domain containing oxidoreductase,605131,ENSG00000186153,51741.0,12799.0,WWOX,605131,ENSG00000186153,51741.0,WW domain-containing oxidoreductase
XPNPEP1,0,Q9NQW7,0,0,0,0,0,0,0,0,0,XPNPEP1_3481_87,SeqId.3481-87,XPNPEP1,Xaa-Pro aminopeptidase 1,XPNPEP1,SomaScan v4,12822.0,XPNPEP1,X-prolyl aminopeptidase 1,602443,ENSG00000108039,7511.0,12822.0,XPNPEP1,602443,ENSG00000108039,7511.0,Xaa-Pro aminopeptidase 1
XXYLT1,0,Q8NBI6,0,0,0,0,0,0,0,0,0,XXYLT1_6375_75,SeqId.6375-75,XXLT1,Xyloside xylosyltransferase 1,XXYLT1,SomaScan v4,26639.0,XXYLT1,xyloside xylosyltransferase 1,614552,ENSG00000173950,152002.0,26639.0,XXYLT1,614552,ENSG00000173950,152002.0,Xyloside xylosyltransferase 1
YEATS4,0,O95619,0,0,0,0,0,0,0,0,0,YEATS4_17474_106,SeqId.17474-106,YETS4,YEATS domain-containing protein 4,YEATS4,SomaScan v4,24859.0,YEATS4,YEATS domain containing 4,602116,ENSG00000127337,8089.0,24859.0,YEATS4,602116,ENSG00000127337,8089.0,YEATS domain-containing protein 4
YWHAB,0,P31946,0,0,0,0,0,0,0,0,0,YWHAB_14156_33,SeqId.14156-33,14-3-3 protein beta/alpha,14-3-3 protein beta/alpha,YWHAB,SomaScan v4,12849.0,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,601289,ENSG00000166913,7529.0,12849.0,YWHAB,601289,ENSG00000166913,7529.0,14-3-3 protein beta/alpha
ZFAND1,0,Q8TCF1,0,0,0,0,0,0,0,0,0,ZFAND1_19173_5,SeqId.19173-5,ZFAN1,AN1-type zinc finger protein 1,ZFAND1,SomaScan v4,25858.0,ZFAND1,zinc finger AN1-type containing 1,0,ENSG00000104231,79752.0,25858.0,ZFAND1,0,ENSG00000104231,79752.0,AN1-type zinc finger protein 1
ZG16B,0,Q96DA0,0,0,0,0,0,0,0,0,0,ZG16B_8310_6,SeqId.8310-6,U773,Zymogen granule protein 16 homolog B,ZG16B,SomaScan v4,30456.0,ZG16B,zymogen granule protein 16B,620477,ENSG00000162078,124220.0,30456.0,ZG16B,620477,ENSG00000162078,124220.0,Zymogen granule protein 16 homolog B
ZYX,0,Q15942,0,0,0,0,0,0,0,0,0,ZYX_13632_10,SeqId.13632-10,Zyxin,Zyxin,ZYX,SomaScan v4,13200.0,ZYX,zyxin,602002,ENSG00000159840,7791.0,13200.0,ZYX,602002,ENSG00000159840,7791.0,Zyxin
PDCD6IP,0,Q8WUM4,0,0,0,0,0,0,0,0,0,PDCD6IP_18174_79,SeqId.18174-79,PDC6I,Programmed cell death 6-interacting protein,PDCD6IP,SomaScan v4,8766.0,PDCD6IP,programmed cell death 6 interacting protein,608074,ENSG00000170248,10015.0,8766.0,PDCD6IP,608074,ENSG00000170248,10015.0,Programmed cell death 6-interacting protein
PDE4A,0,P27815,0,0,0,0,0,0,0,0,0,PDE4A_18918_86,SeqId.18918-86,PDE4A,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",PDE4A,SomaScan v4,8780.0,PDE4A,phosphodiesterase 4A,600126,ENSG00000065989,5141.0,8780.0,PDE4A,600126,ENSG00000065989,5141.0,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
PDGFD,0,Q9GZP0,0,0,0,0,0,0,0,0,0,PDGFD_17140_57,SeqId.17140-57,PDGFD,Platelet-derived growth factor D,PDGFD,SomaScan v4,30620.0,PDGFD,platelet derived growth factor D,609673,ENSG00000170962,80310.0,30620.0,PDGFD,609673,ENSG00000170962,80310.0,Platelet-derived growth factor D
PDGFD,0,Q9GZP0,0,0,0,0,0,0,0,0,0,PDGFD_9341_1,SeqId.9341-1,PDGFD,Platelet-derived growth factor D,PDGFD,SomaScan v4,30620.0,PDGFD,platelet derived growth factor D,609673,ENSG00000170962,80310.0,30620.0,PDGFD,609673,ENSG00000170962,80310.0,Platelet-derived growth factor D
PDGFRL,0,Q15198,0,0,0,0,0,0,0,0,0,PDGFRL_9713_67,SeqId.9713-67,PGFRL,Platelet-derived growth factor receptor-like protein,PDGFRL,SomaScan v4,8805.0,PDGFRL,platelet derived growth factor receptor like,604584,ENSG00000104213,5157.0,8805.0,PDGFRL,604584,ENSG00000104213,5157.0,Platelet-derived growth factor receptor-like protein
PDHX,0,O00330,0,0,0,0,0,0,0,0,0,PDHX_18319_7,SeqId.18319-7,ODPX,"Pyruvate dehydrogenase protein X component, mitochondrial",PDHX,SomaScan v4,21350.0,PDHX,pyruvate dehydrogenase complex component X,608769,ENSG00000110435,8050.0,21350.0,PDHX,608769,ENSG00000110435,8050.0,"Pyruvate dehydrogenase protein X component, mitochondrial"
PDK1,0,Q15118,0,0,0,0,0,0,0,0,0,PDK1_5227_60,SeqId.5227-60,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",PDK1,SomaScan v4,8809.0,PDK1,pyruvate dehydrogenase kinase 1,602524,ENSG00000152256,5163.0,8809.0,PDK1,602524,ENSG00000152256,5163.0,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"
PDLIM1,0,O00151,0,0,0,0,0,0,0,0,0,PDLIM1_11428_31,SeqId.11428-31,PDLI1,PDZ and LIM domain protein 1,PDLIM1,SomaScan v4,2067.0,PDLIM1,PDZ and LIM domain 1,605900,ENSG00000107438,9124.0,2067.0,PDLIM1,605900,ENSG00000107438,9124.0,PDZ and LIM domain protein 1
PDLIM4,0,P50479,0,0,0,0,0,0,0,0,0,PDLIM4_12387_7,SeqId.12387-7,PDLI4,PDZ and LIM domain protein 4,PDLIM4,SomaScan v4,16501.0,PDLIM4,PDZ and LIM domain 4,603422,ENSG00000131435,8572.0,16501.0,PDLIM4,603422,ENSG00000131435,8572.0,PDZ and LIM domain protein 4
PELO,0,Q9BRX2,0,0,0,0,0,0,0,0,0,PELO_12431_13,SeqId.12431-13,PELO,Protein pelota homolog,PELO,SomaScan v4,8829.0,PELO,pelota mRNA surveillance and ribosome rescue factor,605757,ENSG00000152684,53918.0,8829.0,PELO,605757,ENSG00000152684,53918.0,Protein pelota homolog
PEX14,0,O75381,0,0,0,0,0,0,0,0,0,PEX14_8300_82,SeqId.8300-82,PEX14,Peroxisomal membrane protein PEX14,PEX14,SomaScan v4,8856.0,PEX14,peroxisomal biogenesis factor 14,601791,ENSG00000142655,5195.0,8856.0,PEX14,601791,ENSG00000142655,5195.0,Peroxisomal membrane protein PEX14
PF4V1,0,P10720,0,0,0,0,0,0,0,0,0,PF4V1_5663_18,SeqId.5663-18,PF4V,Platelet factor 4 variant,PF4V1,SomaScan v4,8862.0,PF4V1,platelet factor 4 variant 1,173461,ENSG00000109272,5197.0,8862.0,PF4V1,173461,ENSG00000109272,5197.0,Platelet factor 4 variant
PFKM,0,P08237,0,0,0,0,0,0,0,0,0,PFKM_17384_110,SeqId.17384-110,K6PF,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,SomaScan v4,8877.0,PFKM,"phosphofructokinase, muscle",610681,ENSG00000152556,5213.0,8877.0,PFKM,610681,ENSG00000152556,5213.0,"ATP-dependent 6-phosphofructokinase, muscle type"
PGLS,0,O95336,0,0,0,0,0,0,0,0,0,PGLS_17799_9,SeqId.17799-9,6PGL,6-phosphogluconolactonase,PGLS,SomaScan v4,8903.0,PGLS,6-phosphogluconolactonase,604951,ENSG00000130313,25796.0,8903.0,PGLS,604951,ENSG00000130313,25796.0,6-phosphogluconolactonase
PGLYRP3,0,Q96LB9,0,0,0,0,0,0,0,0,0,PGLYRP3_10561_5,SeqId.10561-5,PGRP-I-alpha,Peptidoglycan recognition protein 3,PGLYRP3,SomaScan v4,30014.0,PGLYRP3,peptidoglycan recognition protein 3,608197,ENSG00000159527,114771.0,30014.0,PGLYRP3,608197,ENSG00000159527,114771.0,Peptidoglycan recognition protein 3
PGM1,0,P36871,0,0,0,0,0,0,0,0,0,PGM1_9173_21,SeqId.9173-21,PGM1,Phosphoglucomutase-1,PGM1,SomaScan v4,8905.0,PGM1,phosphoglucomutase 1,171900,ENSG00000079739,5236.0,8905.0,PGM1,171900,ENSG00000079739,5236.0,Phosphoglucomutase-1
PGM2,0,Q96G03,0,0,0,0,0,0,0,0,0,PGM2_18330_7,SeqId.18330-7,PGM2,Phosphoglucomutase-2,PGM2,SomaScan v4,8906.0,PGM2,phosphoglucomutase 2,172000,ENSG00000169299,55276.0,8906.0,PGM2,172000,ENSG00000169299,55276.0,Phosphoglucomutase-2
PGP,0,A6NDG6,0,0,0,0,0,0,0,0,0,PGP_18235_16,SeqId.18235-16,PGP,Glycerol-3-phosphate phosphatase,PGP,SomaScan v4,8909.0,PGP,phosphoglycolate phosphatase,172280,ENSG00000184207,283871.0,8909.0,PGP,172280,ENSG00000184207,283871.0,Glycerol-3-phosphate phosphatase
PHPT1,0,Q9NRX4,0,0,0,0,0,0,0,0,0,PHPT1_16882_27,SeqId.16882-27,PHP14,14 kDa phosphohistidine phosphatase,PHPT1,SomaScan v4,30033.0,PHPT1,phosphohistidine phosphatase 1,610167,ENSG00000054148,29085.0,30033.0,PHPT1,610167,ENSG00000054148,29085.0,14 kDa phosphohistidine phosphatase
PIANP,0,Q8IYJ0,0,0,0,0,0,0,0,0,0,PIANP_14114_18,SeqId.14114-18,PIANP,PILR alpha-associated neural protein,PIANP,SomaScan v4,25338.0,PIANP,PILR alpha associated neural protein,616065,ENSG00000139200,196500.0,25338.0,PIANP,616065,ENSG00000139200,196500.0,PILR alpha-associated neural protein
PIANP,0,Q8IYJ0,0,0,0,0,0,0,0,0,0,PIANP_9599_6,SeqId.9599-6,PIANP,PILR alpha-associated neural protein,PIANP,SomaScan v4,25338.0,PIANP,PILR alpha associated neural protein,616065,ENSG00000139200,196500.0,25338.0,PIANP,616065,ENSG00000139200,196500.0,PILR alpha-associated neural protein
OVCA2,0,Q8WZ82,0,0,0,0,0,0,0,0,0,OVCA2_17697_2,SeqId.17697-2,OVCA2,Esterase OVCA2,OVCA2,SomaScan v4,24203.0,OVCA2,OVCA2 serine hydrolase domain containing,607896,ENSG00000262664,124641.0,24203.0,OVCA2,607896,ENSG00000262664,124641.0,Esterase OVCA2
PAICS,0,P22234,0,0,0,0,0,0,0,0,0,PAICS_9841_197,SeqId.9841-197,Multifunctional protein ADE2,Multifunctional protein ADE2,PAICS,SomaScan v4,8587.0,PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,172439,ENSG00000128050,10606.0,8587.0,PAICS,172439,ENSG00000128050,10606.0,Multifunctional protein ADE2
PATE4,0,P0C8F1,0,0,0,0,0,0,0,0,0,PATE4_8065_245,SeqId.8065-245,PATE4,Prostate and testis expressed protein 4,PATE4,SomaScan v4,35427.0,PATE4,prostate and testis expressed 4,0,ENSG00000237353,399968.0,35427.0,PATE4,0,ENSG00000237353,399968.0,Prostate and testis expressed protein 4
PAWR,0,Q96IZ0,0,0,0,0,0,0,0,0,0,PAWR_9565_6,SeqId.9565-6,PAWR,PRKC apoptosis WT1 regulator protein,PAWR,SomaScan v4,8614.0,PAWR,pro-apoptotic WT1 regulator,601936,ENSG00000177425,5074.0,8614.0,PAWR,601936,ENSG00000177425,5074.0,PRKC apoptosis WT1 regulator protein
PCDH10,0,Q9P2E7,0,0,0,0,0,0,0,0,0,PCDH10_9018_38,SeqId.9018-38,PCD10,Protocadherin-10,PCDH10,SomaScan v4,13404.0,PCDH10,protocadherin 10,608286,ENSG00000138650,57575.0,13404.0,PCDH10,608286,ENSG00000138650,57575.0,Protocadherin-10
PCDH10,0,Q9P2E7,0,0,0,0,0,0,0,0,0,PCDH10_8780_2,SeqId.8780-2,PCD10,Protocadherin-10,PCDH10,SomaScan v4,13404.0,PCDH10,protocadherin 10,608286,ENSG00000138650,57575.0,13404.0,PCDH10,608286,ENSG00000138650,57575.0,Protocadherin-10
PCNP,0,Q8WW12,0,0,0,0,0,0,0,0,0,PCNP_17769_28,SeqId.17769-28,PCNP,PEST proteolytic signal-containing nuclear protein,PCNP,SomaScan v4,30023.0,PCNP,PEST proteolytic signal containing nuclear protein,615210,ENSG00000081154,57092.0,30023.0,PCNP,615210,ENSG00000081154,57092.0,PEST proteolytic signal-containing nuclear protein
PCOLCE2,0,Q9UKZ9,0,0,0,0,0,0,0,0,0,PCOLCE2_6081_52,SeqId.6081-52,PCOC2,Procollagen C-endopeptidase enhancer 2,PCOLCE2,SomaScan v4,8739.0,PCOLCE2,procollagen C-endopeptidase enhancer 2,607064,ENSG00000163710,26577.0,8739.0,PCOLCE2,607064,ENSG00000163710,26577.0,Procollagen C-endopeptidase enhancer 2
PCSK1,0,P29120,0,0,0,0,0,0,0,0,0,PCSK1_13388_57,SeqId.13388-57,NEC1,Neuroendocrine convertase 1,PCSK1,SomaScan v4,8743.0,PCSK1,proprotein convertase subtilisin/kexin type 1,162150,ENSG00000175426,5122.0,8743.0,PCSK1,162150,ENSG00000175426,5122.0,Neuroendocrine convertase 1
PCSK2,0,P16519,0,0,0,0,0,0,0,0,0,PCSK2_15440_57,SeqId.15440-57,NEC2,Neuroendocrine convertase 2,PCSK2,SomaScan v4,8744.0,PCSK2,proprotein convertase subtilisin/kexin type 2,162151,ENSG00000125851,5126.0,8744.0,PCSK2,162151,ENSG00000125851,5126.0,Neuroendocrine convertase 2
PCSK2,0,P16519,0,0,0,0,0,0,0,0,0,PCSK2_6117_4,SeqId.6117-4,NEC2,Neuroendocrine convertase 2,PCSK2,SomaScan v4,8744.0,PCSK2,proprotein convertase subtilisin/kexin type 2,162151,ENSG00000125851,5126.0,8744.0,PCSK2,162151,ENSG00000125851,5126.0,Neuroendocrine convertase 2
PCYOX1,0,Q9UHG3,0,0,0,0,0,0,0,0,0,PCYOX1_6431_68,SeqId.6431-68,PCYOX,Prenylcysteine oxidase 1,PCYOX1,SomaScan v4,20588.0,PCYOX1,prenylcysteine oxidase 1,610995,ENSG00000116005,51449.0,20588.0,PCYOX1,610995,ENSG00000116005,51449.0,Prenylcysteine oxidase 1
PXDN,0,Q92626,0,0,0,0,0,0,0,0,0,PXDN_13463_1,SeqId.13463-1,PXDN,Peroxidasin homolog,PXDN,SomaScan v4,14966.0,PXDN,peroxidasin,605158,ENSG00000130508,7837.0,14966.0,PXDN,605158,ENSG00000130508,7837.0,Peroxidasin homolog
PYGL,0,P06737,0,0,0,0,0,0,0,0,0,PYGL_11441_11,SeqId.11441-11,PYGL,"Glycogen phosphorylase, liver form",PYGL,SomaScan v4,9725.0,PYGL,glycogen phosphorylase L,613741,ENSG00000100504,5836.0,9725.0,PYGL,613741,ENSG00000100504,5836.0,"Glycogen phosphorylase, liver form"
QPCTL,0,Q9NXS2,0,0,0,0,0,0,0,0,0,QPCTL_8866_53,SeqId.8866-53,QPCTL,Glutaminyl-peptide cyclotransferase-like protein,QPCTL,SomaScan v4,25952.0,QPCTL,glutaminyl-peptide cyclotransferase like,0,ENSG00000011478,54814.0,25952.0,QPCTL,0,ENSG00000011478,54814.0,Glutaminyl-peptide cyclotransferase-like protein
QSOX2,0,Q6ZRP7,0,0,0,0,0,0,0,0,0,QSOX2_8397_147,SeqId.8397-147,QSOX2,Sulfhydryl oxidase 2,QSOX2,SomaScan v4,30249.0,QSOX2,quiescin sulfhydryl oxidase 2,612860,ENSG00000165661,169714.0,30249.0,QSOX2,612860,ENSG00000165661,169714.0,Sulfhydryl oxidase 2
RAB1A,0,P62820,0,0,0,0,0,0,0,0,0,RAB1A_19223_6,SeqId.19223-6,RAB1A,Ras-related protein Rab-1A,RAB1A,SomaScan v4,9758.0,RAB1A,"RAB1A, member RAS oncogene family",179508,ENSG00000138069,5861.0,9758.0,RAB1A,179508,ENSG00000138069,5861.0,Ras-related protein Rab-1A
RAB21,0,Q9UL25,0,0,0,0,0,0,0,0,0,RAB21_17514_48,SeqId.17514-48,RAB21,Ras-related protein Rab-21,RAB21,SomaScan v4,18263.0,RAB21,"RAB21, member RAS oncogene family",612398,ENSG00000080371,23011.0,18263.0,RAB21,612398,ENSG00000080371,23011.0,Ras-related protein Rab-21
RAB22A,0,Q9UL26,0,0,0,0,0,0,0,0,0,RAB22A_12408_333,SeqId.12408-333,RB22A,Ras-related protein Rab-22A,RAB22A,SomaScan v4,9764.0,RAB22A,"RAB22A, member RAS oncogene family",612966,ENSG00000124209,57403.0,9764.0,RAB22A,612966,ENSG00000124209,57403.0,Ras-related protein Rab-22A
RAB6B,0,Q9NRW1,0,0,0,0,0,0,0,0,0,RAB6B_14271_23,SeqId.14271-23,RAB6B,Ras-related protein Rab-6B,RAB6B,SomaScan v4,14902.0,RAB6B,"RAB6B, member RAS oncogene family",615852,ENSG00000154917,51560.0,14902.0,RAB6B,615852,ENSG00000154917,51560.0,Ras-related protein Rab-6B
RAP1GDS1,0,P52306,0,0,0,0,0,0,0,0,0,RAP1GDS1_14106_46,SeqId.14106-46,GDP/GTP exchange protein,Rap1 GTPase-GDP dissociation stimulator 1,RAP1GDS1,SomaScan v4,9859.0,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1,179502,ENSG00000138698,5910.0,9859.0,RAP1GDS1,179502,ENSG00000138698,5910.0,Rap1 GTPase-GDP dissociation stimulator 1
GATM,0,P50440,0,0,0,0,0,0,0,0,0,GATM_18188_12,SeqId.18188-12,GATM,"Glycine amidinotransferase, mitochondrial",GATM,SomaScan v4,4175.0,GATM,glycine amidinotransferase,602360,ENSG00000171766,2628.0,4175.0,GATM,602360,ENSG00000171766,2628.0,"Glycine amidinotransferase, mitochondrial"
GCA,0,P28676,0,0,0,0,0,0,0,0,0,GCA_12594_5,SeqId.12594-5,GRAN,Grancalcin,GCA,SomaScan v4,15990.0,GCA,grancalcin,607030,ENSG00000115271,25801.0,15990.0,GCA,607030,ENSG00000115271,25801.0,Grancalcin
GCKR,0,Q14397,0,0,0,0,0,0,0,0,0,GCKR_5223_59,SeqId.5223-59,GCKR,Glucokinase regulatory protein,GCKR,SomaScan v4,4196.0,GCKR,glucokinase regulator,600842,ENSG00000084734,2646.0,4196.0,GCKR,600842,ENSG00000084734,2646.0,Glucokinase regulatory protein
GDI2,0,P50395,0,0,0,0,0,0,0,0,0,GDI2_2647_66,SeqId.2647-66,Rab GDP dissociation inhibitor beta,Rab GDP dissociation inhibitor beta,GDI2,SomaScan v4,4227.0,GDI2,GDP dissociation inhibitor 2,600767,ENSG00000057608,2665.0,4227.0,GDI2,600767,ENSG00000057608,2665.0,Rab GDP dissociation inhibitor beta
GGPS1,0,O95749,0,0,0,0,0,0,0,0,0,GGPS1_17786_5,SeqId.17786-5,GGPPS,Geranylgeranyl pyrophosphate synthase,GGPS1,SomaScan v4,4249.0,GGPS1,geranylgeranyl diphosphate synthase 1,606982,ENSG00000152904,9453.0,4249.0,GGPS1,606982,ENSG00000152904,9453.0,Geranylgeranyl pyrophosphate synthase
GKN2,0,Q86XP6,0,0,0,0,0,0,0,0,0,GKN2_6416_8,SeqId.6416-8,GKN2,Gastrokine-2,GKN2,SomaScan v4,24588.0,GKN2,gastrokine 2,618589,ENSG00000183607,200504.0,24588.0,GKN2,618589,ENSG00000183607,200504.0,Gastrokine-2
GLCE,0,O94923,0,0,0,0,0,0,0,0,0,GLCE_7808_5,SeqId.7808-5,GLCE,D-glucuronyl C5-epimerase,GLCE,SomaScan v4,17855.0,GLCE,glucuronic acid epimerase,612134,ENSG00000138604,26035.0,17855.0,GLCE,612134,ENSG00000138604,26035.0,D-glucuronyl C5-epimerase
GLIPR1,0,P48060,0,0,0,0,0,0,0,0,0,GLIPR1_9265_10,SeqId.9265-10,GLIP1,Glioma pathogenesis-related protein 1,GLIPR1,SomaScan v4,17001.0,GLIPR1,GLI pathogenesis related 1,602692,ENSG00000139278,11010.0,17001.0,GLIPR1,602692,ENSG00000139278,11010.0,Glioma pathogenesis-related protein 1
GLIPR2,0,Q9H4G4,0,0,0,0,0,0,0,0,0,GLIPR2_15522_2,SeqId.15522-2,GAPR1,Golgi-associated plant pathogenesis-related protein 1,GLIPR2,SomaScan v4,18007.0,GLIPR2,GLI pathogenesis related 2,607141,ENSG00000122694,152007.0,18007.0,GLIPR2,607141,ENSG00000122694,152007.0,Golgi-associated plant pathogenesis-related protein 1
GLRX2,0,Q9NS18,0,0,0,0,0,0,0,0,0,GLRX2_12486_8,SeqId.12486-8,GLRX2,"Glutaredoxin-2, mitochondrial",GLRX2,SomaScan v4,16065.0,GLRX2,glutaredoxin 2,606820,ENSG00000023572,51022.0,16065.0,GLRX2,606820,ENSG00000023572,51022.0,"Glutaredoxin-2, mitochondrial"
GLRX3,0,O76003,0,0,0,0,0,0,0,0,0,GLRX3_16596_25,SeqId.16596-25,GLRX3,Glutaredoxin-3,GLRX3,SomaScan v4,15987.0,GLRX3,glutaredoxin 3,612754,ENSG00000108010,10539.0,15987.0,GLRX3,612754,ENSG00000108010,10539.0,Glutaredoxin-3
GLTPD2,0,A6NH11,0,0,0,0,0,0,0,0,0,GLTPD2_7948_129,SeqId.7948-129,GLTD2,Glycolipid transfer protein domain-containing protein 2,GLTPD2,SomaScan v4,33756.0,GLTPD2,glycolipid transfer protein domain containing 2,0,ENSG00000182327,388323.0,33756.0,GLTPD2,0,ENSG00000182327,388323.0,Glycolipid transfer protein domain-containing protein 2
GLUL,0,P15104,0,0,0,0,0,0,0,0,0,GLUL_19238_12,SeqId.19238-12,GLNA,Glutamine synthetase,GLUL,SomaScan v4,4341.0,GLUL,glutamate-ammonia ligase,138290,ENSG00000135821,2752.0,4341.0,GLUL,138290,ENSG00000135821,2752.0,Glutamine synthetase
GMDS,0,O60547,0,0,0,0,0,0,0,0,0,GMDS_18337_4,SeqId.18337-4,GMDS,"GDP-mannose 4,6 dehydratase",GMDS,SomaScan v4,4369.0,GMDS,"GDP-mannose 4,6-dehydratase",602884,ENSG00000112699,2762.0,4369.0,GMDS,602884,ENSG00000112699,2762.0,"GDP-mannose 4,6 dehydratase"
GNMT,0,Q14749,0,0,0,0,0,0,0,0,0,GNMT_14006_36,SeqId.14006-36,GNMT,Glycine N-methyltransferase,GNMT,SomaScan v4,4415.0,GNMT,glycine N-methyltransferase,606628,ENSG00000124713,27232.0,4415.0,GNMT,606628,ENSG00000124713,27232.0,Glycine N-methyltransferase
GNPNAT1,0,Q96EK6,0,0,0,0,0,0,0,0,0,GNPNAT1_13954_9,SeqId.13954-9,GNA1,Glucosamine 6-phosphate N-acetyltransferase,GNPNAT1,SomaScan v4,19980.0,GNPNAT1,glucosamine-phosphate N-acetyltransferase 1,616510,ENSG00000100522,64841.0,19980.0,GNPNAT1,616510,ENSG00000100522,64841.0,Glucosamine 6-phosphate N-acetyltransferase
GNPTG,0,Q9UJJ9,0,0,0,0,0,0,0,0,0,GNPTG_10666_7,SeqId.10666-7,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,SomaScan v4,23026.0,GNPTG,N-acetylglucosamine-1-phosphate transferase subunit gamma,607838,ENSG00000090581,84572.0,23026.0,GNPTG,607838,ENSG00000090581,84572.0,N-acetylglucosamine-1-phosphotransferase subunit gamma
