Protein,uniprot,UKBB_PPP_exposure,DECODE_exposure,UKBB_PPP_platform,DCODE_platform,UKBB_PPP_panel,DCODE_seqid,UKBB_PPP_oid,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
PRSS22,Q9GZN4,PRSS22:Q9GZN4:Inflammation_II,PRSS22_4534_10,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4534-10,OID30483,14368,PRSS22,609343,ENSG00000005001,64063,Brain-specific serine protease 4
ENDOU,P21128,ENDOU:P21128:Oncology_II,ENDOU_5656_53,Olink Explore,SomaScan v4,Oncology_v1,SeqId.5656-53,OID31498,14369,ENDOU,606720,ENSG00000111405,8909,Poly(U)-specific endoribonuclease
GP6,Q9HCN6,GP6:Q9HCN6:Neurology,GP6_3194_36,Olink Explore,SomaScan v4,Neurology_v1,SeqId.3194-36,OID21091,14388,GP6,605546,ENSG00000088053,51206,Platelet glycoprotein VI
CPVL,Q9H3G5,CPVL:Q9H3G5:Oncology,CPVL_8891_7,Olink Explore,SomaScan v4,Oncology_v1,SeqId.8891-7,OID21435,14399,CPVL,609780,ENSG00000106066,54504,Probable serine carboxypeptidase CPVL
SSC4D,Q8WTU2,SSC4D:Q8WTU2:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20182,14461,SSC4D,607639,ENSG00000146700,136853,Scavenger receptor cysteine-rich domain-containing group B protein
NPC2,P61916,NPC2:P61916:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30418,14537,NPC2,601015,ENSG00000119655,10577,NPC intracellular cholesterol transporter 2
CDHR1,Q96JP9,CDHR1:Q96JP9:Neurology,CDHR1_8372_29,Olink Explore,SomaScan v4,Neurology_v1,SeqId.8372-29,OID20808,14550,CDHR1,609502,ENSG00000148600,92211,Cadherin-related family member 1
CLEC4D,Q8WXI8,CLEC4D:Q8WXI8:Inflammation,CLEC4D_7752_31,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.7752-31,OID20609,14554,CLEC4D,609964,ENSG00000166527,338339,C-type lectin domain family 4 member D
CLEC6A,Q6EIG7,CLEC6A:Q6EIG7:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21228,14556,CLEC6A,613579,ENSG00000205846,93978,C-type lectin domain family 6 member A
CLEC7A,Q9BXN2,CLEC7A:Q9BXN2:Inflammation,CLEC7A_3603_60,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3603-60,OID20636,14558,CLEC7A,606264,ENSG00000172243,64581,C-type lectin domain family 7 member A
SORBS1,Q9BX66,SORBS1:Q9BX66:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID30978,14565,SORBS1,605264,ENSG00000095637,10580,Sorbin and SH3 domain-containing protein 1
LAMP3,Q9UQV4,LAMP3:Q9UQV4:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20638,14582,LAMP3,605883,ENSG00000078081,27074,Lysosome-associated membrane glycoprotein 3
ECI2,O75521,ECI2:O75521:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30142,14601,ECI2,608024,ENSG00000198721,10455,Enoyl-CoA delta isomerase 2
AMN,Q9BXJ7,AMN:Q9BXJ7:Inflammation,AMN_4322_28,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4322-28,OID20492,14604,AMN,605799,ENSG00000166126,81693,Protein amnionless
CRELD1,Q96HD1,CRELD1:Q96HD1:Inflammation_II,CRELD1_7628_40,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.7628-40,OID30619,14630,CRELD1,607170,ENSG00000163703,78987,Protein disulfide isomerase CRELD1
ADAMTSL2,Q86TH1,ADAMTSL2:Q86TH1:Cardiometabolic_II,ADAMTSL2_6379_62,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.6379-62,OID30370,14631,ADAMTSL2,612277,ENSG00000197859,9719,ADAMTS-like protein 2
PDAP1,Q13442,PDAP1:Q13442:Cardiometabolic_II,PDAP1_19240_265,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.19240-265,OID30323,14634,PDAP1,607075,ENSG00000106244,11333,28 kDa heat- and acid-stable phosphoprotein
HDGFL2,Q7Z4V5,HDGFL2:Q7Z4V5:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31136,14680,HDGFL2,617884,ENSG00000167674,84717,Hepatoma-derived growth factor-related protein 2
F11R,Q9Y624,F11R:Q9Y624:Neurology,0,Olink Explore,0,Neurology_v1,0,OID21151,14685,F11R,605721,ENSG00000158769,50848,Junctional adhesion molecule A
JAM2,P57087,JAM2:P57087:Neurology,JAM2_2997_8,Olink Explore,SomaScan v4,Neurology_v1,SeqId.2997-8,OID21064,14686,JAM2,606870,ENSG00000154721,58494,Junctional adhesion molecule B
LYVE1,Q9Y5Y7,LYVE1:Q9Y5Y7:Inflammation_II,LYVE1_3206_4,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3206-4,OID30728,14687,LYVE1,605702,ENSG00000133800,10894,Lymphatic vessel endothelial hyaluronic acid receptor 1
PPP1R14A,Q96A00,PPP1R14A:Q96A00:Neurology_II,PPP1R14A_19117_3,Olink Explore,SomaScan v4,Neurology_v1,SeqId.19117-3,OID31011,14871,PPP1R14A,608153,ENSG00000167641,94274,Protein phosphatase 1 regulatory subunit 14A
ASPN,Q9BXN1,ASPN:Q9BXN1:Cardiometabolic_II,ASPN_6451_64,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.6451-64,OID30315,14872,ASPN,608135,ENSG00000106819,54829,Asporin
FCRL2,Q96LA5,FCRL2:Q96LA5:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20639,14875,FCRL2,606509,ENSG00000132704,79368,Fc receptor-like protein 2
CRTAC1,Q9NQ79,CRTAC1:Q9NQ79:Cardiometabolic,CRTAC1_5632_6,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.5632-6,OID20279,14882,CRTAC1,606276,ENSG00000095713,55118,Cartilage acidic protein 1
DNAJA2,O60884,DNAJA2:O60884:Inflammation,DNAJA2_11582_63,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.11582-63,OID20627,14884,DNAJA2,611322,ENSG00000069345,10294,DnaJ homolog subfamily A member 2
DNAJA4,Q8WW22,DNAJA4:Q8WW22:Neurology_II,DNAJA4_9744_139,Olink Explore,SomaScan v4,Neurology_v1,SeqId.9744-139,OID31130,14885,DNAJA4,0,ENSG00000140403,55466,DnaJ homolog subfamily A member 4
DNAJB6,O75190,DNAJB6:O75190:Inflammation_II,DNAJB6_11606_22,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.11606-22,OID30613,14888,DNAJB6,611332,ENSG00000105993,10049,DnaJ homolog subfamily B member 6
DPP7,Q9UHL4,DPP7:Q9UHL4:Cardiometabolic,DPP7_8346_9,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.8346-9,OID20142,14892,DPP7,610537,ENSG00000176978,29952,Dipeptidyl peptidase 2
ULBP2,Q9BZM5,ULBP2:Q9BZM5:Neurology,0,Olink Explore,0,Neurology_v1,0,OID20919,14894,ULBP2,605698,ENSG00000131015,80328,UL16-binding protein 2
IL22,Q9GZX6,IL22:Q9GZX6:Oncology_II,IL22_2778_10,Olink Explore,SomaScan v4,Oncology_v1,SeqId.2778-10,OID31407,14900,IL22,605330,ENSG00000127318,50616,Interleukin-22
TMPRSS5,Q9H3S3,TMPRSS5:Q9H3S3:Neurology,TMPRSS5_8002_27,Olink Explore,SomaScan v4,Neurology_v1,SeqId.8002-27,OID20947,14908,TMPRSS5,606751,ENSG00000166682,80975,Transmembrane protease serine 5
CA13,Q8N1Q1,CA13:Q8N1Q1:Cardiometabolic,CA13_3420_21,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.3420-21,OID20225,14914,CA13,611436,ENSG00000185015,377677,Carbonic anhydrase 13
SIRT1,Q96EB6,SIRT1:Q96EB6:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30439,14929,SIRT1,604479,ENSG00000096717,23411,NAD-dependent protein deacetylase sirtuin-1
PPP1R14D,Q9NXH3,PPP1R14D:Q9NXH3:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID30997,14953,PPP1R14D,613256,ENSG00000166143,54866,Protein phosphatase 1 regulatory subunit 14D
GPR101,Q96P66,GPR101:Q96P66:Neurology_II,GPR101_11371_1,Olink Explore,SomaScan v4,Neurology_v1,SeqId.11371-1,OID30819,14963,GPR101,300393,ENSG00000165370,83550,Probable G-protein coupled receptor 101
SNX5,Q9Y5X3,SNX5:Q9Y5X3:Cardiometabolic_II,SNX5_18327_6,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.18327-6,OID30215,14969,SNX5,605937,ENSG00000089006,27131,Sorting nexin-5
SNX9,Q9Y5X1,SNX9:Q9Y5X1:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20135,14973,SNX9,605952,ENSG00000130340,51429,Sorting nexin-9
SNX15,Q9NRS6,SNX15:Q9NRS6:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30644,14978,SNX15,605964,ENSG00000110025,29907,Sorting nexin-15
TGOLN2,O43493,TGOLN2:O43493:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30691,15450,TGOLN2,603062,ENSG00000152291,10618,Trans-Golgi network integral membrane protein 2
MANF,P55145,MANF:P55145:Inflammation,MANF_9223_11,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.9223-11,OID20707,15461,MANF,601916,ENSG00000145050,7873,Mesencephalic astrocyte-derived neurotrophic factor
SPINK5,Q9NQ38,SPINK5:Q9NQ38:Neurology,SPINK5_8028_22,Olink Explore,SomaScan v4,Neurology_v1,SeqId.8028-22,OID21148,15464,SPINK5,605010,ENSG00000133710,11005,Serine protease inhibitor Kazal-type 5
WFDC1,Q9HC57,WFDC1:Q9HC57:Oncology_II,WFDC1_9316_67,Olink Explore,SomaScan v4,Oncology_v1,SeqId.9316-67,OID31366,15466,WFDC1,605322,ENSG00000103175,58189,WAP four-disulfide core domain protein 1
DNAJC6,O75061,DNAJC6:O75061:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30247,15469,DNAJC6,608375,ENSG00000116675,9829,Putative tyrosine-protein phosphatase auxilin
PRSS27,Q9BQR3,PRSS27:Q9BQR3:Cardiometabolic,PRSS27_15535_3,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.15535-3,OID20212,15475,PRSS27,608018,ENSG00000172382,83886,Serine protease 27
LILRA6,Q6PI73,LILRA6:Q6PI73:Cardiometabolic_II,LILRA6_7059_14,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.7059-14,OID30346,15495,LILRA6,0,ENSG00000244482,79168,Leukocyte immunoglobulin-like receptor subfamily A member 6
LILRA4,P59901,LILRA4:P59901:Cardiometabolic_II,LILRA4_8299_66,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.8299-66,OID30162,15503,LILRA4,607517,ENSG00000239961,23547,Leukocyte immunoglobulin-like receptor subfamily A member 4
KLB,Q86Z14,KLB:Q86Z14:Neurology,KLB_19557_3,Olink Explore,SomaScan v4,Neurology_v1,SeqId.19557-3,OID20888,15527,KLB,611135,ENSG00000134962,152831,Beta-klotho
JAM3,Q9BX67,JAM3:Q9BX67:Inflammation_II,JAM3_2998_53,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2998-53,OID30586,15532,JAM3,606871,ENSG00000166086,83700,Junctional adhesion molecule C
CHCHD10,Q8WYQ3,CHCHD10:Q8WYQ3:Neurology_II,CHCHD10_11270_17,Olink Explore,SomaScan v4,Neurology_v1,SeqId.11270-17,OID31116,15559,CHCHD10,615903,ENSG00000250479,400916,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial"
IL36A,Q9UHA7,IL36A:Q9UHA7:Inflammation_II,IL36A_14150_7,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.14150-7,OID30472,15562,IL36A,605509,ENSG00000136694,27179,Interleukin-36 alpha
ILKAP,Q9H0C8,ILKAP:Q9H0C8:Neurology,0,Olink Explore,0,Neurology_v1,0,OID20855,15566,ILKAP,618909,ENSG00000132323,80895,Integrin-linked kinase-associated serine/threonine phosphatase 2C
SPESP1,Q6UW49,SPESP1:Q6UW49:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30298,15570,SPESP1,609399,ENSG00000258484,246777,Sperm equatorial segment protein 1
EPPK1,P58107,EPPK1:P58107:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30250,15577,EPPK1,607553,ENSG00000261150,83481,Epiplakin
REPS1,Q96D71,REPS1:Q96D71:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30496,15578,REPS1,614825,ENSG00000135597,85021,RalBP1-associated Eps domain-containing protein 1
MUC16,Q8WXI7,MUC16:Q8WXI7:Oncology,MUC16_15565_102,Olink Explore,SomaScan v4,Oncology_v1,SeqId.15565-102,OID21378,15582,MUC16,606154,ENSG00000181143,94025,Mucin-16
SYTL4,Q96C24,SYTL4:Q96C24:Cardiometabolic_II,SYTL4_11563_51,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.11563-51,OID30339,15588,SYTL4,300723,ENSG00000102362,94121,Synaptotagmin-like protein 4
SYTL4,Q96C24,SYTL4:Q96C24:Cardiometabolic_II,SYTL4_9090_9,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.9090-9,OID30339,15588,SYTL4,300723,ENSG00000102362,94121,Synaptotagmin-like protein 4
SKAP1,Q86WV1,SKAP1:Q86WV1:Neurology,0,Olink Explore,0,Neurology_v1,0,OID20906,15605,SKAP1,604969,ENSG00000141293,8631,Src kinase-associated phosphoprotein 1
SIGLEC10,Q96LC7,SIGLEC10:Q96LC7:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20537,15620,SIGLEC10,606091,ENSG00000142512,89790,Sialic acid-binding Ig-like lectin 10
B4GAT1,O43505,B4GAT1:O43505:Neurology,0,Olink Explore,0,Neurology_v1,0,OID21127,15685,B4GAT1,605517,ENSG00000174684,11041,"Beta-1,4-glucuronyltransferase 1"
SKAP2,O75563,SKAP2:O75563:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20761,15687,SKAP2,605215,ENSG00000005020,8935,Src kinase-associated phosphoprotein 2
CPA4,Q9UI42,CPA4:Q9UI42:Inflammation_II,CPA4_9267_2,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.9267-2,OID30606,15740,CPA4,607635,ENSG00000128510,51200,Carboxypeptidase A4
IL36G,Q9NZH8,IL36G:Q9NZH8:Inflammation_II,IL36G_9117_4,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.9117-4,OID30551,15741,IL36G,605542,ENSG00000136688,56300,Interleukin-36 gamma
ERMAP,Q96PL5,ERMAP:Q96PL5:Inflammation_II,ERMAP_8631_13,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.8631-13,OID30539,15743,ERMAP,609017,ENSG00000164010,114625,Erythroid membrane-associated protein
PRND,Q9UKY0,PRND:Q9UKY0:Neurology_II,PRND_18231_147,Olink Explore,SomaScan v4,Neurology_v1,SeqId.18231-147,OID31124,15748,PRND,604263,ENSG00000171864,23627,Prion-like protein doppel
OGFR,Q9NZT2,OGFR:Q9NZT2:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21360,15768,OGFR,606459,ENSG00000060491,11054,Opioid growth factor receptor
CPXM1,Q96SM3,CPXM1:Q96SM3:Oncology,CPXM1_6255_74,Olink Explore,SomaScan v4,Oncology_v1,SeqId.6255-74,OID21479,15771,CPXM1,609555,ENSG00000088882,56265,Probable carboxypeptidase X1
ERBIN,Q96RT1,ERBIN:Q96RT1:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21323,15842,ERBIN,606944,ENSG00000112851,55914,Erbin
PALM2,Q8IXS6,PALM2:Q8IXS6:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31096,15845,PALM2,0,0,0.0,Paralemmin-2
RBP5,P82980,RBP5:P82980:Oncology,RBP5_19241_31,Olink Explore,SomaScan v4,Oncology_v1,SeqId.19241-31,OID21369,15847,RBP5,611866,ENSG00000139194,83758,Retinol-binding protein 5
CD93,Q9NPY3,CD93:Q9NPY3:Cardiometabolic,CD93_14136_234,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.14136-234,OID20397,15855,CD93,120577,ENSG00000125810,22918,Complement component C1q receptor
NSFL1C,Q9UNZ2,NSFL1C:Q9UNZ2:Neurology,NSFL1C_4250_23,Olink Explore,SomaScan v4,Neurology_v1,SeqId.4250-23,OID21022,15912,NSFL1C,606610,ENSG00000088833,55968,NSFL1 cofactor p47
RALY,Q9UKM9,RALY:Q9UKM9:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31382,15921,RALY,614663,ENSG00000125970,22913,RNA-binding protein Raly
SIRPB1,O00241,SIRPB1:O00241:Inflammation,SIRPB1_6247_9,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.6247-9,OID20739,15928,SIRPB1,603889,ENSG00000101307,10326,Signal-regulatory protein beta-1
WFDC2,Q14508,WFDC2:Q14508:Oncology,WFDC2_11388_75,Olink Explore,SomaScan v4,Oncology_v1,SeqId.11388-75,OID21505,15939,WFDC2,617548,ENSG00000101443,10406,WAP four-disulfide core domain protein 2
CELA3A,P09093,CELA3A:P09093:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20298,15944,CELA3A,618693,ENSG00000142789,10136,Chymotrypsin-like elastase family member 3A
SEZ6,Q53EL9,SEZ6:Q53EL9:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID30968,15955,SEZ6,616666,ENSG00000063015,124925,Seizure protein 6 homolog
DTX2,Q86UW9,DTX2:Q86UW9:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID30882,15973,DTX2,613141,ENSG00000091073,113878,Probable E3 ubiquitin-protein ligase DTX2
SERPINA9,Q86WD7,SERPINA9:Q86WD7:Oncology,SERPINA9_7266_4,Olink Explore,SomaScan v4,Oncology_v1,SeqId.7266-4,OID21284,15995,SERPINA9,615677,ENSG00000170054,327657,Serpin A9
COLEC12,Q5KU26,COLEC12:Q5KU26:Inflammation,COLEC12_5457_5,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.5457-5,OID20738,16016,COLEC12,607621,ENSG00000158270,81035,Collectin-12
FGD3,Q5JSP0,FGD3:Q5JSP0:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31040,16027,FGD3,617554,ENSG00000127084,89846,"FYVE, RhoGEF and PH domain-containing protein 3"
IL33,O95760,IL33:O95760:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20428,16028,IL33,608678,ENSG00000137033,90865,Interleukin-33
ANGPTL4,Q9BY76,ANGPTL4:Q9BY76:Inflammation,ANGPTL4_3796_79,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3796-79,OID20703,16039,ANGPTL4,605910,ENSG00000167772,51129,Angiopoietin-related protein 4
PARD3,Q8TEW0,PARD3:Q8TEW0:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31301,16051,PARD3,606745,ENSG00000148498,56288,Partitioning defective 3 homolog
PAK4,O96013,PAK4:O96013:Neurology,PAK4_13719_19,Olink Explore,SomaScan v4,Neurology_v1,SeqId.13719-19,OID20819,16059,PAK4,605451,ENSG00000130669,10298,Serine/threonine-protein kinase PAK 4
VSTM2L,Q96N03,VSTM2L:Q96N03:Cardiometabolic,VSTM2L_6549_60,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.6549-60,OID20067,16096,VSTM2L,616537,ENSG00000132821,128434,V-set and transmembrane domain-containing protein 2-like protein
BPIFB1,Q8TDL5,BPIFB1:Q8TDL5:Cardiometabolic,BPIFB1_15367_38,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.15367-38,OID20308,16108,BPIFB1,0,ENSG00000125999,92747,BPI fold-containing family B member 1
WFDC12,Q8WWY7,WFDC12:Q8WWY7:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21462,16115,WFDC12,609872,ENSG00000168703,128488,WAP four-disulfide core domain protein 12
ZBP1,Q9H171,ZBP1:Q9H171:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30526,16176,ZBP1,606750,ENSG00000124256,81030,Z-DNA-binding protein 1
BPIFB2,Q8N4F0,BPIFB2:Q8N4F0:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30311,16177,BPIFB2,614108,ENSG00000078898,80341,BPI fold-containing family B member 2
DEFB118,Q96PH6,DEFB118:Q96PH6:Neurology_II,DEFB118_9306_7,Olink Explore,SomaScan v4,Neurology_v1,SeqId.9306-7,OID30858,16196,DEFB118,607650,ENSG00000131068,117285,Beta-defensin 118
BPIFA2,Q96DR5,BPIFA2:Q96DR5:Cardiometabolic_II,BPIFA2_16302_11,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.16302-11,OID30279,16203,BPIFA2,0,ENSG00000131050,140683,BPI fold-containing family A member 2
ISM1,B1AKI9,ISM1:B1AKI9:Inflammation,ISM1_8355_80,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.8355-80,OID20538,16213,ISM1,615793,ENSG00000101230,140862,Isthmin-1
DTD1,Q8TEA8,DTD1:Q8TEA8:Inflammation_II,DTD1_19194_9,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.19194-9,OID30580,16219,DTD1,610996,ENSG00000125821,92675,D-aminoacyl-tRNA deacylase 1
CBLN4,Q9NTU7,CBLN4:Q9NTU7:Oncology,CBLN4_5688_65,Olink Explore,SomaScan v4,Oncology_v1,SeqId.5688-65,OID21386,16231,CBLN4,615029,ENSG00000054803,140689,Cerebellin-4
YAP1,P46937,YAP1:P46937:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31113,16262,YAP1,606608,ENSG00000137693,10413,Transcriptional coactivator YAP1
SYAP1,Q96A49,SYAP1:Q96A49:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30636,16273,SYAP1,0,ENSG00000169895,94056,Synapse-associated protein 1
TRIM5,Q9C035,TRIM5:Q9C035:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20526,16276,TRIM5,608487,ENSG00000132256,85363,Tripartite motif-containing protein 5
NFU1,Q9UMS0,NFU1:Q9UMS0:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31510,16287,NFU1,608100,ENSG00000169599,27247,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
UPB1,Q9UBR1,UPB1:Q9UBR1:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30352,16297,UPB1,606673,ENSG00000100024,51733,Beta-ureidopropionase
ADAMTS15,Q8TE58,ADAMTS15:Q8TE58:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21275,16305,ADAMTS15,607509,ENSG00000166106,170689,A disintegrin and metalloproteinase with thrombospondin motifs 15
LILRA5,A6NI73,LILRA5:A6NI73:Cardiometabolic,LILRA5_7787_25,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.7787-25,OID20209,16309,LILRA5,606047,ENSG00000187116,353514,Leukocyte immunoglobulin-like receptor subfamily A member 5
LILRA5,A6NI73,LILRA5:A6NI73:Cardiometabolic,LILRA5_8766_29,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.8766-29,OID20209,16309,LILRA5,606047,ENSG00000187116,353514,Leukocyte immunoglobulin-like receptor subfamily A member 5
PARK7,Q99497,PARK7:Q99497:Neurology,PARK7_19523_215,Olink Explore,SomaScan v4,Neurology_v1,SeqId.19523-215,OID21160,16369,PARK7,602533,ENSG00000116288,11315,Parkinson disease protein 7
PARK7,Q99497,PARK7:Q99497:Neurology,PARK7_19545_145,Olink Explore,SomaScan v4,Neurology_v1,SeqId.19545-145,OID21160,16369,PARK7,602533,ENSG00000116288,11315,Parkinson disease protein 7
OTOA,Q7RTW8,OTOA:Q7RTW8:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID30825,16378,OTOA,607038,ENSG00000155719,146183,Otoancorin
IL17F,Q96PD4,IL17F:Q96PD4:Inflammation,IL17F_14026_24,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.14026-24,OID20456,16404,IL17F,606496,ENSG00000112116,112744,Interleukin-17F
LACRT,Q9GZZ8,LACRT:Q9GZZ8:Oncology_II,LACRT_7163_26,Olink Explore,SomaScan v4,Oncology_v1,SeqId.7163-26,OID31367,16430,LACRT,607360,ENSG00000135413,90070,Extracellular glycoprotein lacritin
ASRGL1,Q7L266,ASRGL1:Q7L266:Cardiometabolic_II,ASRGL1_18313_4,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.18313-4,OID30283,16448,ASRGL1,609212,ENSG00000162174,80150,Isoaspartyl peptidase/L-asparaginase
ATG4A,Q8WYN0,ATG4A:Q8WYN0:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21246,16489,ATG4A,300663,ENSG00000101844,115201,Cysteine protease ATG4A
PLSCR3,Q9NRY6,PLSCR3:Q9NRY6:Neurology_II,PLSCR3_11407_57,Olink Explore,SomaScan v4,Neurology_v1,SeqId.11407-57,OID31146,16495,PLSCR3,607611,ENSG00000187838,57048,Phospholipid scramblase 3
DAPP1,Q9UN19,DAPP1:Q9UN19:Inflammation,DAPP1_11615_16,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.11615-16,OID20524,16500,DAPP1,605768,ENSG00000070190,27071,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
SEPTIN8,Q92599,SEPTIN8:Q92599:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31079,16511,SEPTIN8,608418,ENSG00000164402,23176,Septin-8
DKKL1,Q9UK85,DKKL1:Q9UK85:Oncology,DKKL1_16309_30,Olink Explore,SomaScan v4,Oncology_v1,SeqId.16309-30,OID21313,16528,DKKL1,605418,ENSG00000104901,27120,Dickkopf-like protein 1
CHEK2,O96017,CHEK2:O96017:Cardiometabolic,CHEK2_19328_51,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.19328-51,OID20054,16627,CHEK2,604373,ENSG00000183765,11200,Serine/threonine-protein kinase Chk2
CXCL16,Q9H2A7,CXCL16:Q9H2A7:Cardiometabolic,CXCL16_2436_49,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.2436-49,OID20282,16642,CXCL16,605398,ENSG00000161921,58191,C-X-C motif chemokine 16
SLMAP,Q14BN4,SLMAP:Q14BN4:Oncology_II,SLMAP_7191_32,Olink Explore,SomaScan v4,Oncology_v1,SeqId.7191-32,OID31441,16643,SLMAP,602701,ENSG00000163681,7871,Sarcolemmal membrane-associated protein
SPINK4,O60575,SPINK4:O60575:Inflammation,SPINK4_19213_1,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.19213-1,OID20509,16646,SPINK4,613929,ENSG00000122711,27290,Serine protease inhibitor Kazal-type 4
METAP2,P50579,METAP2:P50579:Oncology,METAP2_3170_6,Olink Explore,SomaScan v4,Oncology_v1,SeqId.3170-6,OID21437,16672,METAP2,601870,ENSG00000111142,10988,Methionine aminopeptidase 2
ANP32C,O43423,ANP32C:O43423:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30203,16675,ANP32CP,606877,ENSG00000248546,23520,Acidic leucine-rich nuclear phosphoprotein 32 family member C
OTUD7B,Q6GQQ9,OTUD7B:Q6GQQ9:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31064,16683,OTUD7B,611748,ENSG00000264522,56957,OTU domain-containing protein 7B
